"period","faction","faction_name","decision_maker","decision_maker_role","proposed_by","proposed_by_role","timestamp","proposed_action","final_action","approval_status","domain","priority","target","proposal_rationale","decision_rationale","success","result_message"
9,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-09 15:48:16","military_buildup","military_buildup","approved","military","primary","northern_border","Concentrate forces for a decisive northern offensive to exploit enemy overextension and break defensive stalemate.","Decisive northern offensive exploits enemy overextension and breaks current stalemate","FALSE","Military buildup hampered by supply chain issues - partial gains only"
9,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-09 15:48:16","cyber_attack","cyber_attack","approved","military","secondary","Tethys","Disrupt Tethys’ command-and-control systems to degrade coordination during the planned offensive.","Cyber disruption will degrade Tethys coordination during offensive operations","TRUE","Cyber attack disrupts critical systems"
9,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-09 15:48:16","show_of_force","show_of_force","vetoed","military","tertiary","self","Conduct high-visibility naval deployment to project strength domestically and deter third-party intervention.","Naval deployment diverts resources from concentrated northern campaign","","Vetoed action (tertiary priority)"
9,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-09 15:48:16","false_flag_operation","false_flag_operation","vetoed","intelligence","primary","Tethys","Stage a provocation to justify escalation and fracture international support for Tethys.","False flag risks exposing our involvement and undermining Novaris partnership","","Vetoed action (primary priority)"
9,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-09 15:48:16","sabotage","intelligence_gathering","counter_proposed","intelligence","secondary","Tethys_energy_infrastructure","Cripple key pipeline nodes to pressure Tethys economically while masking Novaris’ role.","Gather actionable intelligence on pipeline vulnerabilities without attribution risks","TRUE","Gathered intelligence on situation"
9,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-09 15:48:16","share_intelligence","share_intelligence","approved","intelligence","tertiary","Meridian,Aurelia","Leak selectively manipulated data to sow distrust between Tethys and its allies.","Selective intelligence manipulation can fracture enemy alliances without direct provocation","TRUE","Intelligence shared successfully - ally coordination improved"
9,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-09 15:48:16","strategic_stockpiling","strategic_stockpiling","approved","economic","primary","self","Secure critical imports now to insulate against worsening sanctions and supply chain collapse.","Strategic stockpiling essential given escalating sanctions and supply vulnerabilities","TRUE","Strategic stockpiling successful - reserves increased"
9,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-09 15:48:16","war_bonds","war_bonds","approved","economic","secondary","self","Mobilize domestic capital to fund military operations without triggering inflationary spirals.","War bonds mobilize domestic resources without inflationary pressure","FALSE","War bond uptake weak - only $0.6B raised"
9,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-09 15:48:16","currency_manipulation","currency_manipulation","vetoed","economic","tertiary","none","Devalue the ruble to boost export competitiveness in non-sanctioning markets and offset lost energy revenue.","Currency manipulation could destabilize our economic partnership with Novaris","","Vetoed action (tertiary priority)"
9,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-09 15:51:12","limited_strike","limited_strike","vetoed","military","primary","Novaris","Disrupt Novaris' forward supply depots to delay their consolidation and signal resolve without triggering full escalation.","Limited strikes risk escalation without decisive advantage; prefer deterrent posture","","Vetoed action (primary priority)"
9,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-09 15:51:12","naval_deployment","naval_deployment","approved","military","secondary","Tethys","Position fast-attack craft along Tethys' coastal energy transit zones to asymmetrically threaten Novaris’ revenue flow and force naval diversion.","Naval positioning provides asymmetric leverage while maintaining defensive character","FALSE","Naval deployment delayed - mechanical issues and weather complications"
9,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-09 15:51:12","show_of_force","show_of_force","approved","military","tertiary","self","Conduct high-visibility mobile drills near northern border to boost domestic morale and signal allied readiness, leveraging pop-up defense networks.","Show of force boosts morale and signals allied commitment without crossing offensive threshold","TRUE","Show of force demonstrates military capability"
9,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-09 15:51:12","sabotage","intelligence_gathering","counter_proposed","intelligence","primary","Novaris","Deploy deep-agent cells to disable key rail chokepoints in Novaris’ rear logistics network, degrading their mobilization timeline.","Deep sabotage too provocative; need better situational awareness first","TRUE","Gathered intelligence on Novaris"
9,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-09 15:51:12","cyber_attack","cyber_attack","approved","intelligence","secondary","Novaris","Launch disruptive cyber operations against Novaris’ military scheduling systems to create fog in deployment planning.","Cyber disruption is proportional response that degrades enemy capabilities","FALSE","Cyber attack traced back - diplomatic incident"
9,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-09 15:51:12","false_flag_operation","false_flag_operation","vetoed","intelligence","tertiary","Novaris","Stage plausible deniability incidents to discredit Novaris’ narrative of victimhood in neutral states, fracturing their diplomatic support.","False flag operations violate international norms and could backfire diplomatically","","Vetoed action (tertiary priority)"
9,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-09 15:51:12","coalition_building","coalition_building","approved","diplomatic","primary","Meridian,Aurelia","Forge a binding mutual support pact with conditional basing rights to lock in allied commitments before Novaris intensifies pressure.","Coalition building essential for liberal institutionalist approach and long-term security","TRUE","Coalition building successful - new partners committed"
9,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-09 15:51:12","backchannel_negotiations","backchannel_negotiations","approved","diplomatic","secondary","Novaris","Initiate discreet talks through third-party envoys to explore off-ramps, preserving diplomatic flexibility if military situation deteriorates.","Backchannel talks preserve options for peaceful resolution while maintaining strength","FALSE","Backchannel approach rebuffed - no secret dialogue established"
9,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-09 15:51:12","humanitarian_corridors","humanitarian_corridors","approved","diplomatic","tertiary","Tethys","Establish monitored corridors to position ourselves as responsible actors, drawing international oversight to Novaris’ territorial advances.","Humanitarian corridors demonstrate responsible leadership and invite international oversight","FALSE","Humanitarian corridor negotiations failed - access denied"
9,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-09 15:51:12","resource_embargo","resource_embargo","approved","economic","primary","Novaris","Impose targeted restrictions on critical rare earth exports to choke Novaris’ defense manufacturing capacity and exploit supply chain fragility.","Targeted embargo exploits economic leverage without broader escalation","TRUE","Resource embargo enforced - supply lines disrupted"
9,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-09 15:51:12","strategic_stockpiling","strategic_stockpiling","approved","economic","secondary","self","Accelerate reserves of fuel, medical supplies, and microchips to extend endurance beyond six-month threshold and deter economic exhaustion.","Strategic reserves essential for sustained defense and crisis endurance","TRUE","Strategic stockpiling successful - reserves increased"
9,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-09 15:51:12","war_bonds","war_bonds","approved","economic","tertiary","self","Issue sovereign defense bonds with diaspora-first terms to unlock non-inflationary funding while deepening national unity.","War bonds mobilize domestic resources while strengthening national unity","FALSE","War bond uptake weak - only $0.7B raised"
9,"meridian","meridian","Ambassador William Crawford","foreign_government","","","2026-02-09 15:51:21","backchannel_negotiations","backchannel_negotiations","approved","diplomatic","primary","novaris","As a realist diplomat, I recognize that while deterrence through sanctions and aid is critical, direct communication channels are essential to prevent miscalculation. With economic sanctions failing and intelligence efforts exposed, a discreet opening could explore off-ramps before escalation becomes inevitable.","A covert dialogue that tests Novaris’s willingness to de-escalate, potentially avoiding war while preserving Meridian’s strategic credibility.","TRUE","Backchannel contact established - secret dialogue initiated"
9,"valkoria","valkoria","Minister Andrei Kozlov","foreign_government","","","2026-02-09 15:51:32","backchannel_negotiations","backchannel_negotiations","approved","diplomatic","primary","novaris","As a realist with hawkish tendencies, I recognize that overt aggression is currently failing and risks isolation. Given our repeated disinformation efforts and Novaris’s strategic position, discreet talks can solidify coordination without triggering Western escalation.","Strengthened alignment with Novaris on military and diplomatic strategy, ensuring synchronized actions while maintaining plausible deniability.","FALSE","Backchannel approach rebuffed - no secret dialogue established"
9,"aurelia","aurelia","Commissioner Helena Schmidt","foreign_government","","","2026-02-09 15:51:49","backchannel_negotiations","backchannel_negotiations","approved","diplomatic","primary","novaris","As a liberal institutionalist committed to diplomacy, I believe continued secret talks offer the best path to de-escalation. Given Novaris’s recent openness in backchannels and the high crisis level, discreet engagement can yield leverage where public talks have failed.","Reestablish communication lines to explore face-saving off-ramps for Novaris, potentially halting military escalation while preserving Tethyan sovereignty.","FALSE","Backchannel approach rebuffed - no secret dialogue established"
9,"international_org","international_org","Under-Secretary-General Isabella Cardenas","international_org","","","2026-02-09 15:52:04","humanitarian_corridors","humanitarian_corridors","approved","diplomatic","primary","","As a liberal institutionalist committed to humanitarian protection, establishing safe passage for civilians is essential given the pre-invasion crisis and repeated denial of aid access. This action upholds international law and preserves neutral, coordinated relief efforts despite prior failures.","Creation of protected routes for displaced persons and aid delivery, reducing civilian suffering and maintaining the organization’s credibility as a neutral mediator.","FALSE","Humanitarian corridor negotiations failed - access denied"
