"period","faction","faction_name","decision_maker","decision_maker_role","proposed_by","proposed_by_role","timestamp","proposed_action","final_action","approval_status","domain","priority","target","proposal_rationale","decision_rationale","success","result_message"
1,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-01 11:06:49","defensive_fortification","defensive_fortification","approved","military","primary",NA,"We consolidate our gains not by reckless advance, but by turning every meter of captured ground into a tomb for the enemy—let them bleed trying to take it back.","Defensive fortification consolidates strategic gains and imposes long-term costs on Tethys, aligning with realist principles of terrain control and deterrence through strength.",TRUE,"Approved action 1/9 (primary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-01 11:06:49","troop_movements","troop_movements","approved","military","secondary",NA,"Rotating fresh brigades into the rear zones maintains pressure and keeps Tethys guessing—our restraint is tactical, not strategic.","Rotating fresh brigades maintains operational momentum without overt escalation, preserving initiative while managing risk.",TRUE,"Approved action 2/9 (secondary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-01 11:06:49","show_of_force","military_exercises","counter_proposed","military","tertiary",NA,"A visible mobilization along the secondary front reminds all who doubt our resolve that Novaris does not negotiate from weakness.","A visible but contained demonstration of readiness achieves the desired signaling effect without provoking unintended escalation from a full show of force.",TRUE,"Counter Proposed action 3/9 (tertiary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-01 11:06:49","intelligence_gathering","intelligence_gathering","approved","intelligence","primary",NA,"If we are to act, we must see clearly—our priority is penetrating Tethys’ command structure and energy security planning before any decision point.","Penetrating Tethys’ command and energy planning is essential for informed strategic decision-making; intelligence is force multiplier.",TRUE,"Approved action 4/9 (primary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-01 11:06:49","counterintelligence","counterintelligence","approved","intelligence","secondary",NA,"With heightened tensions, foreign assets will swarm us; we must clean house now before they exploit our vulnerabilities.","Counterintelligence is a necessary hedge against foreign exploitation during high-tension phases, especially given hawkish posture.",TRUE,"Approved action 5/9 (secondary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-01 11:06:49","cyber_theft","cyber_intrusion","counter_proposed","intelligence","tertiary",NA,"Stealing Tethys’ logistical and reserve deployment data gives us asymmetric leverage—knowledge is the decisive terrain.","Stealing deployment data is valuable, but outright theft risks attribution and retaliation; passive infiltration better serves long-term access and deniability.",TRUE,"Counter Proposed action 6/9 (tertiary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-01 11:06:49","trade_restrictions","export_diplomacy","counter_proposed","economic","primary",NA,"We cannot afford to lose 30% of energy revenue, but we can strangle Tethys’ luxury imports to force concessions without triggering full rupture.","Trade restrictions may invite retaliation; instead, we leverage our energy position through selective negotiations to divide Tethys’ coalition.",TRUE,"Counter Proposed action 7/9 (primary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-01 11:06:49","resource_embargo","resource_embargo","approved","economic","secondary",NA,"Targeted halt on rare earth exports pressures their tech sector and defense industry while leaving diplomatic off-ramps.","Targeted rare earth embargo pressures critical sectors while maintaining plausible deniability and preserving options for de-escalation.",TRUE,"Approved action 8/9 (secondary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-01 11:06:49","currency_manipulation","currency_manipulation","vetoed","economic","tertiary",NA,"Quiet devaluation of our rouble reduces dependency on Tethyan transit fees by making alternative overland routes more viable long-term.","Currency manipulation introduces unpredictable macroeconomic consequences and undermines financial stability more than it aids strategic autonomy.",NA,"Vetoed action 9/9 (tertiary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-01 11:08:06","limited_strike","limited_strike","approved","military","primary",NA,"The enemy’s overextension is our opening—targeting forward logistics nodes will bleed their momentum and prove we won’t just dig in and die.","A limited strike exploits enemy overextension while remaining proportionate and defensible under international norms.",TRUE,"Approved action 1/10 (primary priority)"
