scenario_id,condition,agent_id,persona_id,strategic_orientation,risk_tolerance,military_expertise,economic_expertise,geopolitical_expertise,information_fraction,probability,rationale,fallback_type
scenario_001,persona_baseline,0,simplified_279,dovish,31,89,34,76,1.0,0.25,"Tethys retains significant defensive advantages with stabilized frontlines and substantial international support, but its economy is under severe strain with a 25% GDP contraction, which could undermine internal stability over time.",
scenario_001,persona_baseline,4,simplified_446,dovish,34,71,61,52,1.0,0.35,"Tethys retains a significant defensive advantage with 63.4% of its territory intact and asymmetric capabilities, which my military analysis judges as effective for imposing high costs on Novaris despite the slight military balance favoring Novaris. Economically, the 25% GDP contraction is severe, but international support and sanctions on Novaris (71%) create economic pressure on the aggressor, reducing the risk of immediate internal collapse in Tethys. Diplomatically, the coalition-building by Meridian and sustained high international support (59%) provide a stabilizing framework, though the high crisis level and economic strain present a non-negligible risk of governmental failure if the conflict protracts.",
scenario_001,persona_baseline,3,simplified_437,hawkish,31,60,58,50,1.0,0.15,"Tethys retains significant defensive advantages with 63.4% territory control and a near-even military balance (-0.05), while international support at 59% and sanctions on Novaris at 71% provide substantial external pressure. However, the economic strain from a 25% GDP decline poses a serious internal risk, though the stabilized frontline and ongoing diplomatic efforts from actors like Aurelia and the International Organization suggest a managed crisis rather than imminent collapse.",
scenario_001,persona_baseline,7,simplified_197,hawkish,76,66,54,64,1.0,0.15,"Tethys retains significant defensive advantages with stabilized frontlines and asymmetric capabilities, but faces severe economic strain with GDP down 25% and prolonged conflict pressure. International support at 59% and sanctions on Novaris at 71% provide diplomatic and economic leverage, making government collapse unlikely in the short term despite economic deterioration.",
scenario_001,persona_baseline,1,simplified_370,pragmatic,70,24,89,69,1.0,0.25,"While Tethys is under severe economic pressure with GDP down 25% and faces a 36.6% territorial loss, battlefield stabilization, strong international support at 59%, and a security commitment from Meridian provide critical resilience. My economic analysis highlights the strain, but the defender's advantage and external coalition-building suggest the government can maintain control, albeit at a high cost, making collapse a significant but not yet likely outcome.",
scenario_001,persona_baseline,5,simplified_010,pragmatic,77,27,90,57,1.0,0.35,"Tethys's GDP has fallen by 25% from baseline, indicating severe economic stress, but the frontline has stabilized (territory at 63.4% with defensive advantages). International support at 59% and Meridian's coalition building provide crucial external backing, mitigating immediate collapse risk despite the economic crisis.",
scenario_001,persona_baseline,6,simplified_401,pragmatic,20,50,60,72,1.0,0.25,"Tethys retains 63.4% of its territory and battlefield momentum has stabilized, indicating a resilient military defense that negates immediate invasion risks. However, Tethys's GDP has contracted by 25% under prolonged conflict pressure, a significant economic strain that could undermine long-term government stability if the crisis continues without resolution. International support and sanctions against Novaris are strong, providing Tethys with diplomatic and economic buffers, which mitigates near-term collapse risk despite the economic deterioration.",
scenario_001,persona_baseline,9,simplified_107,dovish,26,63,72,60,1.0,0.23,"Despite significant territorial loss (36.6%) and severe GDP contraction (-25%), Tethys's military position has stabilized (-0.05 balance indicates near-parity) with defensive advantages, and robust international support (59%) provides strategic depth. While economic pressures from prolonged conflict are serious, the combination of Meridian's coalition-building, humanitarian corridors, and Novaris facing its own economic contraction (-25.9% GDP) and heavy sanctions (71%) suggests Tethys retains sufficient capacity to avoid government collapse in this period, though vulnerabilities remain.",
scenario_001,persona_baseline,8,simplified_178,pragmatic,39,38,90,54,1.0,0.25,"The current economic strain on Tethys is severe, with GDP down 25% and the 'Economic Defender' event indicating further crisis, which heightens collapse risk. However, military stabilization with defensive advantages and strong international support (59%) provide critical buffers. Novaris also faces economic pressure (GDP down 26% and high sanctions), reducing its capacity for decisive victory, making full government collapse less likely despite economic distress.",
scenario_001,persona_baseline,2,simplified_314,dovish,30,56,72,57,1.0,0.12,"My assessment, emphasizing economic and diplomatic factors, indicates Tethys is facing significant stress with a 25% GDP contraction and ongoing conflict, but a government collapse in the short term is unlikely. The defender's economy is under pressure, yet the battlefield has stabilized with defensive advantages, and international support at 59% provides a crucial buffer. My dovish, moderate-low risk orientation leads me to weight the stabilizing elements—continued territorial control (63.4%), strong external backing, and ongoing diplomatic efforts—more heavily than the economic downturn, suggesting a low probability of regime change in this period.",
scenario_001,persona_shard,4,simplified_229,dovish,47,25,84,58,0.4722139219164676,0.28,"My economic analysis indicates significant pressure on Tethys from Novaris's sanctions and trade disruption, with its GDP shrinking to 67% of baseline. However, as a dovish strategist, I assess that Meridian's security commitment (59% international support) and ongoing diplomatic efforts provide critical stability, making outright government collapse unlikely in the short term despite severe economic strain. The absence of current territorial loss and Valkoria's diplomatic facilitation supports de-escalation prospects, though economic vulnerabilities remain the primary threat vector.",
scenario_001,persona_shard,3,simplified_130,dovish,55,20,66,84,0.7348450758967007,0.2,"Tethys's military position appears stable with territorial retention at 63.4% and defensive advantages, while external support at 59% and sustained diplomatic engagement from Meridian and Aurelia bolster its resilience. Although Novaris's economic pressure is a concern, Tethys's pipeline leverage and the lack of severe battlefield losses suggest the government can withstand current stresses without collapse.",
scenario_001,persona_shard,1,simplified_333,pragmatic,61,47,75,80,0.7033283838155552,0.24,"Tethys maintains strong defensive military positions with asymmetric capabilities and holds 63.4% territory, while international support at 59% and sanctions on Novaris at 71% provide substantial backing. However, economic pressure is moderate with GDP down 25% and crisis level at maximum, creating vulnerability. My pragmatic analysis weights the stabilizing factors of territorial control and alliance support against economic risks, resulting in a moderate-low probability of collapse.",
