"period","timestamp","probability","confidence","trend","key_factors"
1,"2026-02-11 19:38:43",0.58,"MEDIUM","INCREASING",NA
1,"2026-02-11 20:02:02",0.58,"MEDIUM","INCREASING",NA
1,"2026-02-11 20:13:09",0.68,"MEDIUM","INCREASING",NA
1,"2026-02-11 20:25:02",0.38,"MEDIUM","INCREASING",NA
1,"2026-02-11 20:50:50",0.58,"MEDIUM","INCREASING",NA
1,"2026-02-11 20:58:46",0.42,"MEDIUM","INCREASING",NA
1,"2026-02-11 21:08:42",0.38,"MEDIUM","INCREASING",NA
1,"2026-02-11 21:30:26",0.72,"MEDIUM","INCREASING",NA
1,"2026-02-11 21:40:56",0.58,"HIGH","INCREASING",NA
1,"2026-02-11 21:50:19",0.38,"MEDIUM","INCREASING","The smaller power faces an extremely precarious military situation with a -0.09 military balance and 20.8% of its territory already lost within only 7 days—a rapid rate of attrition that historically threatens government survival. However, the 93.8% international support level and active mediation efforts (Aurelia/International Org) provide a temporary political floor. The internal debate within the smaller power regarding ""negotiation vs. resistance"" suggests emerging fractures in domestic cohesion, which is a leading indicator of potential political transition or negotiated change."
1,"2026-02-11 21:59:53",0.68,"MEDIUM","STABLE","The smaller power is under extreme duress with 28.1% of territory already lost in only seven days, indicating a rapid rate of collapse in territorial integrity. The military balance is severely skewed against the defender (-0.04), suggesting the aggressor possesses overwhelming conventional superiority. While the defender has successfully held ""key positions"" this period and increased international support to 55.9%, the sheer scale of territorial loss and the 10/10 crisis level create a high risk of institutional failure or a forced negotiated transition. The presence of discussions regarding ""territorial concessions"" indicates the government is already contemplating the loss of sovereign control."
1,"2026-02-11 22:28:39",0.6145,"MEDIUM","INCREASING","The simulation shows a critical military imbalance (-0.04) and a ""Major Battlefield Shift"" (***) involving significant territorial gains by the major power. While external military aid is arriving, the speed of the aggressor's advance and the discussion of ""territorial concessions"" suggest the smaller power's government is under immediate existential pressure. The crisis level is at maximum (10/10), and the low military balance score indicates the defender is struggling to provide conventional parity, increasing the risk of a forced political transition or loss of governing capacity."
1,"2026-02-11 22:37:44",0.7675,"HIGH","INCREASING","The combination of a 31.3% territorial loss and a negative military balance creates extreme strain, but the ***Coup Attempt*** is the primary driver of instability. Internal fragmentation during a 10/10 crisis level severely undermines institutional resilience. While international support exists (46.1%), it cannot effectively shield a government facing simultaneous external invasion and internal military revolt."
1,"2026-02-11 22:46:48",0.599,"MEDIUM","INCREASING","The aggressor holds a significant territorial advantage (25.7%) and military imbalance (-0.20), creating high immediate pressure. However, the smaller power's successful defense of key positions and active coordination for military aid provide a buffer. The commodity price shock adds significant economic strain that could undermine long-term governance, while leaked military communications suggest emerging internal friction."
1,"2026-02-11 22:56:05",0.502,"MEDIUM","STABLE","The aggressor holds a significant territorial advantage (16.8%) and a slight military edge. However, the smaller power's successful defense of key positions and the downing of a reconnaissance drone indicate high tactical competence and institutional resilience. Internal debates within the small power regarding 'negotiation vs. resistance' suggest emerging political friction, but the government remains functional. External protection is currently a vulnerability (36.5%), though active engagement with Meridian and Aurelia suggests a potential upward trajectory for support."
1,"2026-02-11 23:05:53",0.5005,"MEDIUM","INCREASING","Significant territorial loss (28.8%) and a severe military imbalance (-0.03) create high existential pressure. However, exceptionally high international support (88.8%) and active diplomatic coordination (Valkoria, Meridian, Aurelia) act as a critical buffer. The emergence of anti-war protests in the aggressor nation suggests a potential ceiling on the aggressor's political will, though the current momentum still favors the aggressor."
1,"2026-02-11 23:10:01",0.4785,"MEDIUM","INCREASING","The aggressor's control of 32.1% of territory and a ""Major Battlefield Shift"" represent high military pressure. However, the 93.1% international support and arrival of advanced weapons act as a significant buffer. Internal debate in the small power regarding ""negotiation vs. resistance"" indicates emerging political friction, but institutions remain functional."
1,"2026-02-11 23:14:48",0.5925,"MEDIUM","INCREASING","The aggressor holds a massive military advantage (0.02 balance) and has already seized 36.6% of the territory within 7 days, indicating a near-total collapse of frontline defenses. While international support is high (67.8%), the cyber-attack on the power grid (***SHOCK EVENT***) and the rapid loss of territory create extreme MILITARY_PRESSURE and CRISIS_MOMENTUM. The discussion of ""territorial concessions"" suggests the government is already considering existential compromises."
1,"2026-02-11 23:20:07",0.5845,"MEDIUM","STABLE","The aggressor has seized 37.4% of territory within only 7 days, indicating a rapid conventional collapse of the front lines and extreme military pressure. While international support (67.8%) and external protection are high, the internal debate within the small power regarding 'negotiation vs. resistance' suggests emerging cracks in political unity. The speed of territorial loss (Momentum -0.20) is the primary driver of potential government transition or collapse."
1,"2026-02-11 23:25:28",0.652,"HIGH","INCREASING","The SHOCK EVENT (Defender Military Setback) is the primary driver, indicating a breach of critical lines and 15.2% territorial loss within only 7 days. This military collapse has triggered internal political instability, evidenced by simulated agents debating 'negotiation vs resistance' and 'territorial concessions.' While international support exists (43.6%), the negative military balance and high crisis momentum suggest the defender's government is facing an immediate existential threat to its sovereignty."
1,"2026-02-11 23:28:48",0.5665,"MEDIUM","INCREASING","The aggressor holds a clear military advantage and has seized over 10% of territory in just 7 days. Internal debate within the smaller power regarding 'negotiation vs resistance' indicates emerging political fractures. While international support is moderate, the 'allied_support_wavers' event creates a critical vulnerability in the defender's long-term sustainability."
1,"2026-02-11 23:36:00",0.608,"MEDIUM","INCREASING","The aggressor's rapid seizure of 18.5% of territory within 7 days creates extreme military pressure. While international support (47.3%) and military aid are flowing, the negative military balance and high crisis level (10/10) suggest significant strain on the smaller power's governing capacity. Backchannel ceasefire discussions indicate the government is already exploring exit ramps to avoid total collapse."
1,"2026-02-11 23:38:34",0.619,"MEDIUM","INCREASING","The combination of 18.5% territorial loss and a negative military balance (-0.09) creates high immediate pressure. While the frontline has stabilized, the 'Defender War Fatigue' shock event is a critical indicator of internal fragility. International support (42.7%) is moderate but currently insufficient to offset the aggressor's momentum. The naval shadowing in the Cerulean Strait suggests a tightening blockade that will exacerbate economic strain."
1,"2026-02-11 23:45:26",0.52,"MEDIUM","INCREASING","The major power has seized 41.0% of territory in just 7 days, a massive shock event indicating high military pressure. However, the defender maintains very high international support (85.8%) and is actively negotiating security guarantees. The disruption of C2 networks via cyber attack increases short-term vulnerability, but high institutional resilience and active internal coordination are currently preventing a total political collapse."
1,"2026-02-11 23:47:25",0.657,"HIGH","INCREASING","The combination of a 37.6% territorial loss and a significant military deficit (-0.09) creates extreme immediate pressure. While international support remains high (90.4%), the 'Allied Commitment Questioned' event suggests this protection is brittle. The decisive factor this period is the ***Defender Economic Crisis*** shock, which creates a critical vulnerability in governing capacity. Even with high external support, the internal economic buckle and rapid territorial loss suggest the government's ability to maintain domestic control is nearing a breaking point."
1,"2026-02-11 23:55:24",0.601,"MEDIUM","INCREASING","The aggressor's control of 36.8% of territory within only 7 days represents a massive shock to state sovereignty. While the smaller power successfully defended key positions this period, the military balance remains in the aggressor's favor (-0.25). The high crisis level (10/10) and rapid territorial loss create immense pressure on government continuity, though active international mediation and internal coordination on morale are currently providing a temporary buffer against immediate collapse."
1,"2026-02-11 23:55:54",0.685,"MEDIUM","INCREASING","The rapid loss of nearly 40% of territory within the first 7 days creates extreme existential pressure. The combination of a major intelligence leak (cyber breach) and spreading war fatigue (defender_strain) suggests a high risk of internal collapse or forced political transition despite ongoing international support. The military balance significantly favors the aggressor."
1,"2026-02-12 00:05:23",0.392,"HIGH","STABLE","High international support (78.1%) and the successful defense of key positions provide a strong buffer against immediate collapse. While military pressure is significant due to the aggressor's slight advantage (-0.10), the internal cohesion of the smaller power (6 participants coordinating resistance) and high institutional resilience suggest a government capable of managing the initial shock."
1,"2026-02-12 00:05:38",0.4465,"MEDIUM","STABLE","The smaller power has successfully defended key positions despite a slight military disadvantage (-0.06). While the crisis level is at a maximum (10/10), high international support (69.2%) and active diplomatic coordination with external actors like Meridian and Aurelia provide a significant shield. The commodity shock and banking cyber incident create bilateral economic strain, but have not yet translated into internal political collapse for the smaller power."
1,"2026-02-12 00:13:26",0.5015,"MEDIUM","STABLE","High military pressure from 15.8% territorial loss is currently offset by strong external protection (84.1%) and successful defense of key positions. The high international support and influx of advanced weaponry bolster institutional resilience against immediate collapse, despite the extreme crisis level."
1,"2026-02-12 00:17:00",0.5415,"MEDIUM","INCREASING","The defender faces high military pressure with 19% territory lost and a negative military balance. ***Defender Economic Crisis*** is a major shock event, significantly increasing economic strain. However, extremely high External Protection (84.1%) and active diplomatic coordination provide a strong buffer against immediate collapse. The debate over territorial concessions suggests emerging internal political friction, but institutions remain functional for now."
1,"2026-02-12 00:22:51",0.601,"MEDIUM","INCREASING","The rapid loss of 22.4% of territory and a severely negative military balance (0.03) create extreme existential pressure. The ***Cyber Incident (major intelligence leak of military plans)*** is a critical shock event that likely compromises current defensive positions. However, near-total international support (97.4%) and active mediation/aid discussions (Meridian/Aurelia) provide a massive external shield that prevents immediate collapse."
1,"2026-02-12 00:27:03",0.6335,"HIGH","INCREASING","The combination of a 22.4% territorial loss and a significant military imbalance (-0.03) creates extreme pressure. While external support is very high (89.4%), the SHOCK event regarding a leadership challenge and a no-confidence vote, paired with rising war fatigue, suggests the government's internal cohesion is fracturing faster than international aid can stabilize it."
1,"2026-02-12 00:32:41",0.5835,"MEDIUM","INCREASING","The aggressor has seized over 36% of territory in just seven days, creating extreme military pressure and a negative military balance. While international support (63.8%) and external engagement are high, the rapid loss of territory and a crisis level of 10/10 suggest the state is nearing a tipping point. The internal coordination regarding stability and morale indicates significant concern over the government's ability to maintain domestic control."
1,"2026-02-12 00:39:30",0.745,"HIGH","INCREASING","The combination of a 41.2% loss of territory and a negative military balance (-0.29) has created extreme structural vulnerability. However, the critical driver of collapse probability is the ***Coup Attempt*** shock event. With POLITICAL_INSTABILITY at 92 and INSTITUTIONAL_RESILIENCE dropping to 25, the government faces a ""two-front war"": external aggression and internal disintegration. The 21% drop in oil prices further strains the resource-strapped defender. While international support (55.8%) remains moderate, it cannot offset the immediate loss of domestic command and control during a coup."
1,"2026-02-12 00:41:21",0.4645,"MEDIUM","STABLE","The aggressor holds a slight military advantage (-0.10) and has secured 5.5% of territory, putting significant immediate pressure on the government. However, high institutional resilience and a strong influx of advanced military aid (EXTERNAL_PROTECTION) are currently offsetting the risk of immediate collapse. The ""Crisis level 10/10"" indicates high volatility, but the lack of internal fracturing within the small power suggests the government maintains control for now."
1,"2026-02-12 00:47:06",0.554,"MEDIUM","STABLE","The smaller power has successfully defended key positions and stabilized the frontline, preventing an immediate collapse despite a significant military disadvantage (-0.04). High international support (61.6%) and active diplomatic coordination with external powers (Meridian, Aurelia) provide a protective shield. However, the commodity price shock and banking disruptions create high economic volatility, and the 10/10 crisis level indicates extreme systemic stress that threatens long-term governance if the stalemate persists."
1,"2026-02-12 00:49:53",0.496,"MEDIUM","DECREASING","The defender's successful counteroffensive (***SHOCK EVENT***) has significantly blunted the aggressor's momentum and bolstered domestic legitimacy. Despite the aggressor holding 37.7% of the territory and maintaining a slight military advantage (-0.03), the breakthrough at strategic points prevents immediate institutional collapse. High sanctions (60.1%) and the naval 'enhanced inspections' (de facto blockade) create severe economic strain, but active diplomatic coordination with allies (Meridian, Aurelia) provides a necessary buffer for the government's survival."
1,"2026-02-12 00:56:40",0.6555,"MEDIUM","STABLE","The aggressor holds a massive territorial advantage (37%) and a severe military imbalance (-0.06). While the successful defense of key positions and new military aid provide a temporary buffer, the internal debate within the smaller power regarding ""negotiation vs. resistance"" indicates significant fracturing of political unity. The high crisis level (10/10) and rapid loss of territory are the primary drivers of potential government collapse or forced transition."
1,"2026-02-12 01:00:41",0.6055,"MEDIUM","STABLE","The aggressor's control of 37.9% of territory within only 7 days indicates a rapid breakdown of defensive lines. While military aid is arriving and institutional resilience remains moderate, the negative military balance and high crisis level (10/10) suggest the government is at high risk of losing territorial control or being forced into a transitional settlement."
1,"2026-02-12 01:05:58",0.6355,"MEDIUM","STABLE","The aggressor's control of 37.9% of territory within only 7 days represents a catastrophic loss of sovereign space, creating extreme military pressure. While the defender successfully held key positions and received advanced weapons, the major intelligence leak regarding military plans (cyber breach) is a significant shock event that undermines recent tactical gains. Economic strain is high due to the rapid loss of territory and infrastructure. However, high institutional resilience and active diplomatic mediation prevent an immediate total collapse."
1,"2026-02-12 01:10:07",0.4985,"MEDIUM","STABLE","The conflict is in a high-intensity opening phase (Crisis 10/10). While the Major Power has achieved a ""Major Battlefield Shift"" and holds a military advantage (-0.07), the Small Power is bolstered by high international support (71.9%) and the arrival of advanced weaponry. The internal political stability of the Small Power remains relatively high due to effective information warfare and cohesive internal military planning, offsetting the immediate threat of collapse despite the rapid loss of 7.5% of territory."
1,"2026-02-12 01:14:34",0.52,"MEDIUM","INCREASING","The conflict is in an acute opening phase (Crisis 10/10) with significant military pressure, but the government remains bolstered by high international support (63.9%) and active diplomatic engagement. The primary threat is the 'Defender War Fatigue' shock event, which is prematurely stressing internal political stability despite relatively low territorial loss (3.3%)."
1,"2026-02-12 01:21:47",0.674,"HIGH","INCREASING","The simulated Coup Attempt (*** SHOCK ***) has fundamentally compromised the defender's internal cohesion at a critical moment when 25.6% of territory is already lost. While EXTERNAL_PROTECTION remains high (89.8%), the internal POLITICAL_INSTABILITY (92) and the sudden drop in INSTITUTIONAL_RESILIENCE due to the military faction’s power seizure attempt create a high-risk environment for government collapse. The military balance disadvantage (-0.28) further exacerbates the vulnerability of the current leadership."
1,"2026-02-12 01:23:10",0.531,"MEDIUM","INCREASING","The government faces extreme military pressure following the ***Major Battlefield Shift***, with 26.8% of territory already lost. However, high EXTERNAL_PROTECTION (86.1%) and active coordination with international partners (Meridian, Aurelia) provide a significant buffer. The discussion of ""territorial concessions"" suggests the government is under intense strain, but strong internal coordination among factions (small_power) indicates institutional resilience remains intact for now."
1,"2026-02-12 01:31:08",0.635,"MEDIUM","INCREASING","The Defender Economic Crisis (***) is the primary driver of instability, as state capacity to fund a sustained defense is now in jeopardy despite the battlefield stabilization. While the military front has held (15.6% loss), the 0.07 military disadvantage and the economic buckle create a high-risk environment for state collapse. Internal coordination remains high, but the ""territorial concessions vs sovereignty"" debate indicates the beginning of political fragmentation under pressure."
1,"2026-02-12 01:36:48",0.6015,"MEDIUM","INCREASING","The 15.6% territorial loss within only 7 days indicates a rapid collapse of defensive lines. The military balance (0.06) is heavily skewed toward the aggressor. While international support is moderate (51.5%), the 'Major Commodity Price Shift' shock event creates immediate economic strain that may undermine the smaller power's ability to sustain a total war footing. Discussions regarding 'territorial concessions' suggest early-stage political fracturing or a shift toward a negotiated transition."
1,"2026-02-12 01:39:59",0.603,"MEDIUM","INCREASING","The aggressor holds a massive military advantage (0.09 balance) and already controls 36.2% of territory, creating extreme MILITARY_PRESSURE. The ""Defender Economic Crisis"" shock event and the ""Cyber Incident"" exposing military plans significantly undermine the government's ability to govern and defend. However, exceptionally high EXTERNAL_PROTECTION (88.5%) and active mediation/aid from Meridian and Aurelia provide a temporary floor against total collapse. Internal debates over ""negotiation vs resistance"" indicate emerging POLITICAL_INSTABILITY."
1,"2026-02-12 01:46:59",0.534,"MEDIUM","STABLE","The aggressor holds a significant territorial advantage (36.2%) and a dominant military balance (-0.07), creating extreme immediate pressure. However, the defender maintains very high international support (88.5%) and the frontline has recently stabilized. The cyber disruption to command and control is a critical vulnerability, but internal political coordination remains active, suggesting the government has not yet lost its grip on the state apparatus."
1,"2026-02-12 01:48:34",0.4415,"MEDIUM","STABLE","The aggressor holds a significant military advantage and 18% of territory, putting high pressure on the state. However, the defender has exceptionally high international support (73.3%) and has successfully framed the narrative, securing diplomatic and military aid. The emergence of anti-war protests in the aggressor nation and the stabilization of the frontlines suggest the initial ""shock"" phase has passed without a total collapse of the defender's governing capacity."
1,"2026-02-12 01:54:46",0.524,"MEDIUM","INCREASING","The aggressor's rapid seizure of nearly 18% of territory and a negative military balance create high initial pressure. However, very high international support (74.4%) and active coordination with allies (Meridian/Aurelia) provide a significant buffer. The commodity price shock adds economic volatility, but the government remains functionally intact with high institutional resilience at this early stage."
1,"2026-02-12 01:57:44",0.426,"MEDIUM","DECREASING","Despite the aggressor holding 33.4% of territory and a slight military advantage, the government of the smaller power remains relatively stable. The SHOCK EVENT (Aggressor Economic Crisis) significantly reduces the aggressor's ability to sustain the offensive, effectively lowering the collapse risk by 18%. High international support (75%) and strong institutional resilience, combined with resilient economic performance despite the conflict, provide a robust shield against immediate government change. Backchannel ceasefire negotiations suggest the government maintains diplomatic agency."
1,"2026-02-12 02:01:48",0.5865,"MEDIUM","STABLE","The aggressor's control of 33.4% of territory within 7 days represents a massive military shock, placing extreme pressure on the central government. While external support remains high (78.4%), the 'Allied Commitment Questioned' event introduces significant uncertainty regarding the sustainability of this protection. Internal debates within the small power regarding 'negotiation vs. resistance' indicate emerging political fractures that could lead to a negotiated transition or collapse if the frontline does not stabilize further."
1,"2026-02-12 02:07:35",0.4725,"MEDIUM","STABLE","The smaller power has lost 28% of its territory and faces a significant military disadvantage (-0.12), but the successful defense of key positions (Battlefield Shift) provides a critical stabilizing anchor. High international support (85.4%) and active diplomatic coordination with Meridian and Aurelia bolster the government's legitimacy. However, the 35% surge in gas prices and 28% sanctions level create severe economic strain that could undermine long-term governance if the conflict persists."
1,"2026-02-12 02:09:51",0.575,"MEDIUM","INCREASING","The combination of significant territorial loss (nearly 30%) and a severe military imbalance creates extreme pressure. However, the primary driver this period is the ***SHOCK: Defender Economic Crisis***, which threatens to bypass military defenses by collapsing the domestic front through critical shortages. While external protection remains very high (85.4%), providing a shield against total collapse, the internal economic buckling creates a high-risk window for government failure or forced transition."
1,"2026-02-12 02:18:31",0.598,"MEDIUM","DECREASING","The aggressor holds a significant territorial advantage (32.4%) and military edge, placing extreme pressure on the government's survival. However, the *** SHOCK: Diplomatic Breakthrough *** acts as a significant stabilizer, introducing a ceasefire framework that provides a political off-ramp and reduces the immediate momentum of collapse. While internal debates on negotiation vs. resistance indicate rising political friction, the emergence of security guarantee discussions suggests a transition toward a managed diplomatic outcome rather than a total institutional collapse."
1,"2026-02-12 02:18:52",0.809,"HIGH","INCREASING","The convergence of a successful territorial push (37.4% loss) and a critical ***SHOCK: Coup Attempt*** creates a near-terminal environment for the current government. The military balance favors the aggressor, while internal ""Defender War Fatigue"" and ""Economic Crisis"" have shattered domestic cohesion. The coup attempt specifically pushes POLITICAL_INSTABILITY into the critical zone, suggesting a breakdown in the chain of command."
1,"2026-02-12 02:27:48",0.5065,"MEDIUM","STABLE","The aggressor holds a significant territorial advantage (15.5%) and military edge (-0.05 balance) within the first week, creating high immediate pressure. However, the stabilization of the frontline and active diplomatic coordination (Meridian military aid, Aurelia mediation) provide a buffer. Internal political cohesion remains relatively high as factions focus on outreach rather than internal power struggles."
1,"2026-02-12 02:28:44",0.577,"MEDIUM","DECREASING","The aggressor holds a significant military advantage (0.01 balance) and 13.7% territory, creating high military pressure. However, the ***SHOCK: Diplomatic Breakthrough*** significantly offsets immediate collapse risks by introducing a ceasefire framework. While ""Defender War Fatigue"" is emerging, the successful defense of key positions and active international mediation (Aurelia, Meridian) provide a buffer against total institutional failure."
