"period","faction","faction_name","decision_maker","decision_maker_role","proposed_by","proposed_by_role","timestamp","proposed_action","final_action","approval_status","domain","priority","target","proposal_rationale","decision_rationale","success","result_message"
1,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-15 18:37:00","show_of_force","show_of_force","approved","military","primary","Tethys","A bold demonstration of our combat-ready forces along the forward line will shatter enemy morale and prove our unwavering resolve to the world.","A show of force demonstrates resolve without crossing escalation thresholds, maintaining our strategic position while signaling strength to both Novaris and international observers.","TRUE","Show of force demonstrates military capability"
1,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-15 18:37:00","military_exercises","military_exercises","approved","military","secondary","self","Conducting large-scale, surprise drills will sharpen readiness, signal escalation dominance, and counter the psychological impact of recent cyber disruptions.","Military exercises enhance readiness and project deterrent capability, essential given our slight military disadvantage and the need to counter recent cyber disruptions.","FALSE","Exercises marred by training accident - casualties sustained"
1,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-15 18:37:00","reconnaissance","reconnaissance","approved","military","tertiary","Tethys","Continuous intelligence gathering on enemy deployments ensures we maintain tactical superiority ahead of any potential escalation.","Intelligence gathering is fundamental to maintaining tactical awareness and supports all other military operations without provocative escalation.","TRUE","Reconnaissance mission successful - enemy positions mapped"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-15 18:37:00","cyber_defense","cyber_defense","approved","intelligence","primary","self","Given the recent satellite communications outage, strengthening our cyber defenses is critical to maintaining operational integrity and deterring further disruptive attacks.","Cyber defense is critical after recent satellite disruptions and prevents further degradation of our operational capabilities without offensive escalation.","TRUE","Cyber defense strengthened - systems hardened"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-15 18:37:00","counterintelligence","counterintelligence","approved","intelligence","secondary","Novaris","Proactive counterintelligence measures will help neutralize enemy espionage efforts and protect sensitive military planning amid heightened tensions.","Counterintelligence protects our strategic planning and maintains operational security during this heightened tension period.","TRUE","Counterintelligence measures enhanced - threats neutralized"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-15 18:37:00","information_campaign","information_campaign","vetoed","intelligence","tertiary","none","A coordinated information campaign will reinforce domestic cohesion and counter divisive narratives within diaspora communities, ensuring sustained public support.","Information campaigns risk appearing propagandistic and could undermine international credibility when we need coalition support for economic measures.","","Vetoed action (tertiary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-15 18:37:00","resource_embargo","resource_embargo","approved","economic","primary","Tethys","Given the moderate international support for Tethys, we can leverage coalition backing to impose a targeted resource embargo, degrading their warfighting capacity without triggering broad humanitarian fallout.","Resource embargo leverages our international support advantage and applies meaningful pressure on Novaris while maintaining coalition unity.","TRUE","Resource embargo enforced - supply lines disrupted"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-15 18:37:00","targeted_sanctions","targeted_sanctions","approved","economic","secondary","Tethys","By sanctioning key Tethyan defense-sector entities under our intelligence guidance, we disrupt supply chains while maintaining economic precision that aligns with Morozov’s counterintelligence efforts.","Targeted sanctions complement the embargo strategy and demonstrate precision rather than broad economic warfare.","TRUE","Targeted sanctions imposed - key figures affected"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-15 18:37:00","trade_negotiation","trade_negotiation","approved","economic","tertiary","neutral powers","Proactively engaging neutral states on trade incentives secures long-term economic alignment and strengthens the coalition behind the sanctions regime, reinforcing Krasnov’s show of force with tangible economic diplomacy.","Trade negotiations strengthen our coalition and provide positive incentives to neutral states, reinforcing our strategic position.","FALSE","Trade negotiations stalled - terms unacceptable"
1,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-15 18:38:07","show_of_force","show_of_force","approved","military","primary","Novaris","A highly visible demonstration of our combat readiness will exploit Novaris’s logistical strain and boost domestic morale while signaling resolve to allies.","A show of force aligns with our need to demonstrate resolve while maintaining defensive posture and leveraging our international support","TRUE","Show of force demonstrates military capability"
1,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-15 18:38:07","air_patrols","air_patrols","approved","military","secondary","self","Sustained aerial patrols along the front lines will deter opportunistic advances and provide real-time intelligence on enemy movements.","Air patrols provide necessary intelligence and deterrence without crossing into offensive escalation","TRUE","Air patrols establish presence"
1,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-15 18:38:07","limited_strike","limited_strike","vetoed","military","tertiary","Novaris","A precision strike on a forward logistics node will disrupt supply lines and reinforce the perception of our offensive edge without escalating to full-scale advance.","Limited strikes risk escalating the conflict beyond our current strategic position and could undermine diplomatic efforts","","Vetoed action (tertiary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-15 18:38:07","cyber_defense","cyber_defense","approved","intelligence","primary","self","Strengthening our cyber resilience is critical to protect critical infrastructure and maintain operational integrity amid heightened cyber threats from Novaris.","Cyber defense is essential infrastructure protection that aligns with defensive posture and international norms","TRUE","Cyber defense strengthened - systems hardened"
