"period","timestamp","probability","confidence","trend","key_factors"
1,"2026-02-09 14:18:57",0.22,"MEDIUM","STABLE",NA
2,"2026-02-09 14:28:09",0.28,"MEDIUM","INCREASING",NA
3,"2026-02-09 14:40:50",0.36,"MEDIUM","INCREASING",NA
4,"2026-02-09 14:53:13",0.42,"MEDIUM","INCREASING",NA
5,"2026-02-09 15:04:02",0.32,"MEDIUM","DECREASING",NA
6,"2026-02-09 15:19:35",0.22,"MEDIUM","DECREASING",NA
7,"2026-02-09 15:33:39",0.37,"HIGH","INCREASING","The primary driver this period is the ***SHOCK: Escalation Threat***, which introduces a 15% increase in collapse risk due to the aggressor's signal of willingness to use unconventional weapons. While the defender maintains a positive military balance (0.14) and 100% territorial integrity, the combination of a maximum crisis level (10/10) and a major cyber attack on the power grid creates significant internal strain. Backchannel ceasefire discussions suggest the government is under intense pressure to find an exit strategy despite high international support. The threat of unconventional warfare fundamentally shifts the risk profile from conventional defense to potential systemic collapse under extreme escalation."
8,"2026-02-09 15:46:34",0.52,"MEDIUM","INCREASING","The primary driver for this 15% increase is the ***SHOCK: Defender Economic Crisis***. Despite maintaining 100% territorial control and a positive military balance (0.14), the collapse of the domestic economy under ""prolonged conflict pressure"" represents a critical failure in governing capacity. While international sanctions against the aggressor have intensified (89.6%), the defender’s internal buckling suggests that public support and institutional resilience are reaching a breaking point. The transition from ""Escalation Threat"" in Period 7 to an active ""Economic Crisis"" in Period 8 indicates that the government's ability to provide basic services and sustain a war footing is severely compromised, even if the frontlines remain stable. The presence of ""Security guarantees and neutrality status discussions"" suggests the government is now actively negotiating its own political transformation or concessions to survive the internal collapse."
9,"2026-02-09 15:58:55",0.55,"MEDIUM","INCREASING","While the military balance remains positive (+0.14) and territorial integrity is maintained (0.0% lost), the government is facing a critical ""internal buckling"" phase. The primary drivers for the sustained high probability are the lingering effects of last period's Economic Crisis shock and the shift in internal discourse. Specifically, the smaller power's internal factions are now ""debating negotiation positions vs. continued resistance,"" and inter-faction negotiations are explicitly discussing ""territorial concessions."" This indicates a significant decay in political cohesion and strategic commitment. Although the decline in natural gas prices offers a minor reprieve, the extreme crisis level (10/10) and the transition from defensive resolve to internal debate over concessions suggest the government's current mandate is increasingly fragile."
10,"2026-02-09 16:11:57",0.8,"HIGH","INCREASING","The primary driver for this 25% increase is the *** SHOCK: Aggressor Breakthrough ***, which resulted in the loss of 4.4% of territory and the encirclement of a key city. This represents a catastrophic failure of the smaller power's defensive lines and a loss of operational momentum. While the military balance remains technically positive (0.08), the rapid erosion from 0.14 and the sudden territorial loss indicate a decoupling between theoretical strength and battlefield reality. Furthermore, the internal discourse within the smaller power has shifted from resistance to ""assessing military aid"" and ""neutrality status discussions,"" suggesting that the political leadership is preparing for a transition or forced settlement. The extreme crisis level (10/10) and high sanctions (89.6%) exacerbate the fragility of the governing capacity under the pressure of a major military defeat."
