"period","faction","faction_name","decision_maker","decision_maker_role","proposed_by","proposed_by_role","timestamp","proposed_action","final_action","approval_status","domain","priority","target","proposal_rationale","decision_rationale","success","result_message"
1,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-11 20:42:20","military_buildup","military_buildup","approved","military","primary","Tethys","A visible and rapid concentration of armored and mechanized forces along the Tethys border will signal resolve and deter any miscalculation during the decision window.","Military buildup demonstrates resolve and creates deterrent effect while maintaining defensive posture","TRUE","Military buildup increases combat capability"
1,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-11 20:42:20","naval_deployment","naval_deployment","approved","military","secondary","Tethys","Deploying a carrier strike group near Tethyan waters pressures their energy export routes and creates a multi-front strategic dilemma.","Naval deployment applies strategic pressure on their economic lifelines without direct confrontation","FALSE","Naval deployment delayed - mechanical issues and weather complications"
1,"major_power","Novaris","Minister Dmitri Volkov","government","General Viktor Krasnov","military","2026-02-11 20:42:20","limited_strike","limited_strike","vetoed","military","tertiary","Tethys","A precision strike against a high-value but non-critical military node could test Tethys’s response thresholds without triggering full escalation.","Limited strike crosses escalation threshold and risks uncontrolled retaliation","","Vetoed action (tertiary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-11 20:42:20","sabotage","intelligence_gathering","counter_proposed","intelligence","primary","Tethys","Disabling key energy infrastructure in Tethys via covert operatives will exacerbate their economic fragility and weaken domestic support for resistance.","Sabotage too risky for detection; better to gather actionable intelligence first","TRUE","Gathered intelligence on Tethys"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-11 20:42:20","false_flag_operation","false_flag_operation","vetoed","intelligence","secondary","Tethys","Orchestrating a false flag incident that implicates Tethys in aggression against a neutral state could fracture international support and justify our actions.","False flag operation carries extreme reputational risks if exposed and violates strategic coherence","","Vetoed action (secondary priority)"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Director Sergei Morozov","intelligence","2026-02-11 20:42:20","cyber_attack","cyber_attack","approved","intelligence","tertiary","Tethys","Disrupting Tethyan command-and-control systems creates battlefield uncertainty and degrades their defensive coordination.","Cyber attacks offer plausible deniability and degrade their capabilities without kinetic escalation","FALSE","Cyber attack traced back - diplomatic incident"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-11 20:42:20","resource_embargo","resource_embargo","approved","economic","primary","Tethys","Cutting off critical mineral exports starves Tethys of inputs needed for defense production and energy systems, accelerating economic collapse.","Resource embargo leverages our economic advantages and pressures their vulnerabilities","FALSE","Resource embargo porous - smuggling and third-party trade continue"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-11 20:42:20","strategic_stockpiling","strategic_stockpiling","approved","economic","secondary","self","Pre-positioning energy and food reserves insulates Novaris from retaliatory supply shocks and sustains domestic stability.","Strategic stockpiling ensures domestic stability during prolonged confrontation","TRUE","Strategic stockpiling successful - reserves increased"
1,"major_power","Novaris","Minister Dmitri Volkov","government","Dr. Natasha Petrova","economic","2026-02-11 20:42:20","currency_manipulation","currency_manipulation","vetoed","economic","tertiary","Tethys","Flooding Tethys’s financial system with counterfeit currency through clandestine networks erodes trust in their monetary policy and deepens inflation.","Currency manipulation too easily traced back and risks international financial system backlash","","Vetoed action (tertiary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-11 20:43:36","limited_strike","limited_strike","vetoed","military","primary","Novaris","A precision strike against a non-critical military logistics hub will signal resolve without triggering all-out escalation, maintaining initiative.","Limited strikes risk escalating beyond our capacity to manage and could undermine coalition building efforts","","Vetoed action (primary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-11 20:43:36","naval_deployment","naval_deployment","approved","military","secondary","Tethys","Positioning fast-attack craft along key maritime chokepoints deters amphibious probes and reinforces sovereignty visibly but non-provocatively.","Naval deployment provides visible deterrence while maintaining defensive posture","TRUE","Naval forces deployed to region"
1,"small_power","Tethys","President Elena Marchetti","government","General Olena Bondar","military","2026-02-11 20:43:36","military_exercises","military_exercises","approved","military","tertiary","self","Conduct high-visibility drills simulating asymmetric defense to boost domestic morale and signal preparedness to external audiences.","Military exercises demonstrate resolve without crossing into offensive territory","TRUE","Military exercises improve readiness and coordination"
1,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-11 20:43:36","cyber_attack","cyber_attack","vetoed","intelligence","primary","Novaris","Disrupt Novaris’ energy sector SCADA systems to degrade export capacity and directly target their economic vulnerability linked to Tethys pipeline revenue.","Cyber attacks on energy infrastructure could be seen as acts of war and damage our international standing","","Vetoed action (primary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-11 20:43:36","false_flag_operation","false_flag_operation","vetoed","intelligence","secondary","Novaris","Stage a detectable but non-damaging intrusion to bait Novaris into an overreaction that exposes their cyber doctrine and undermines their diplomatic standing.","False flag operations violate international norms and could backfire diplomatically if exposed","","Vetoed action (secondary priority)"
1,"small_power","Tethys","President Elena Marchetti","government","Director Maksym Savchenko","intelligence","2026-02-11 20:43:36","sabotage","intelligence_gathering","counter_proposed","intelligence","tertiary","Novaris","Enable insider-enabled disruption of rail logistics supporting frontline deployments, creating delays without direct attribution.","Focus on collecting actionable intelligence rather than sabotage operations","TRUE","Gathered intelligence on Novaris"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-11 20:43:36","coalition_building","coalition_building","approved","diplomatic","primary","Meridian,Aurelia","Forge a joint statement with key liberal democracies to amplify legal pressure on Novaris over border militarization and energy coercion.","Coalition building aligns with liberal institutionalist principles and strengthens our position","FALSE","Coalition building stalled - potential partners remain hesitant"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-11 20:43:36","backchannel_negotiations","backchannel_negotiations","approved","diplomatic","secondary","Novaris","Open discreet talks via neutral envoys to explore de-escalatory off-ramps, reducing crisis momentum while preserving public resolve.","Backchannel negotiations provide essential de-escalation pathway while maintaining public resolve","FALSE","Backchannel approach rebuffed - no secret dialogue established"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Sofia Kovalenko","diplomatic","2026-02-11 20:43:36","humanitarian_corridors","humanitarian_corridors","approved","diplomatic","tertiary","none","Propose protected pathways for civilian movement to position Tethys as a responsible actor and highlight any obstruction by Novaris as aggression.","Humanitarian corridors demonstrate our commitment to international law and civilian protection","FALSE","Humanitarian corridor negotiations failed - access denied"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-11 20:43:36","strategic_stockpiling","strategic_stockpiling","approved","economic","primary","self","Accelerate reserves of critical munitions inputs through global third-party procurement to extend defensive endurance by 8–10 weeks.","Strategic stockpiling ensures defensive sustainability without provocative escalation","FALSE","Stockpiling limited by supply constraints and high prices"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-11 20:43:36","trade_restrictions","trade_restrictions","approved","economic","secondary","Novaris","Impose targeted export controls on dual-use materials to constrain Novaris’ surge production capacity without triggering broader trade war.","Targeted trade restrictions apply economic pressure while maintaining international legitimacy","TRUE","Trade restrictions implemented - target commerce disrupted"
1,"small_power","Tethys","President Elena Marchetti","government","Minister Taras Moroz","economic","2026-02-11 20:43:36","war_bonds","war_bonds","approved","economic","tertiary","self","Launch a domestic war bond campaign to fund emergency defense spending while fostering national unity and insulating the economy from short-term shocks.","War bonds strengthen domestic unity and economic resilience for sustained crisis management","FALSE","War bond uptake weak - only $1.1B raised"
1,"meridian","meridian","Ambassador William Crawford","foreign_government","","","2026-02-11 20:43:46","coalition_building","coalition_building","approved","diplomatic","primary","","As a realist diplomat committed to upholding the alliance system without direct military escalation, consolidating a broad international coalition maximizes pressure on Novaris while distributing the burden. This action strengthens deterrence through collective action, aligning with Meridian’s strategic interest in defending the rules-based order without unilateral overextension.","A unified, well-resourced coalition capable of sustaining military aid to Tethys, enforcing sanctions, and isolating Novaris diplomatically, thereby increasing the cost of aggression while preserving Meridian’s strategic position.","FALSE","Coalition building stalled - potential partners remain hesitant"
1,"valkoria","valkoria","Minister Andrei Kozlov","foreign_government","","","2026-02-11 20:43:55","spread_disinformation","spread_disinformation","approved","information","primary","Meridian and allied states","As a realist with intelligence background, I see information warfare as a low-cost, high-impact tool to undermine Western solidarity. Spreading disinformation about Tethys’s internal instability and Meridian overreach will erode support for intervention and create doubt among alliance members.","Reduced foreign support for Tethys, increased political friction within the Meridian Alliance, and weakened resolve to escalate involvement in the conflict.","TRUE","Disinformation campaign successful"
