"scenario_id","period","collapse_probability","novaris_actions","tethys_actions","n_novaris_actions","n_tethys_actions","final_territory","final_military_balance","final_crisis_level","final_sanctions","final_support"
"scenario_001",1,0.6195,"show_of_force|air_patrols|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|trade_restrictions","naval_deployment|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|asset_seizure|trade_negotiation|diplomatic_visit|backchannel_negotiations|humanitarian_corridors",7,10,0.18319928022762,0.0472074654069729,9.82247965128627,0.493507256638259,0.523124501779676
"scenario_002",1,0.5955,"show_of_force|military_exercises|reconnaissance|cyber_defense|counterintelligence|targeted_sanctions|trade_restrictions|currency_manipulation","show_of_force|enhanced_patrols|military_exercises|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|economic_aid_to_allies|financial_aid|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",8,12,0.0330092157213949,-0.0545989993726835,7.88029209398664,0.366970605868846,0.650498137809336
"scenario_003",1,0.4655,"limited_strike|naval_deployment|cyber_attack|sabotage|targeted_sanctions|trade_restrictions|resource_embargo","defensive_fortification|enhanced_patrols|reconnaissance|counterintelligence|cyber_defense|share_intelligence|targeted_sanctions|currency_manipulation|formal_multilateral_engagement|coalition_building|international_observers",7,11,0.28894406510517,-0.341274254326709,10,0.42682134071365,0.808303197904024
"scenario_004",1,0.5075,"limited_strike|naval_deployment|cyber_attack|sabotage|war_bonds|currency_manipulation","defensive_fortification|enhanced_patrols|military_exercises|cyber_defense|counterintelligence|share_intelligence|war_bonds|trade_negotiation|humanitarian_corridors|coalition_building|peace_talks",6,11,0.301045790222686,-0.27197959273262,10,0.804476644389797,0.644873698521405
"scenario_005",1,0.4565,"show_of_force|naval_demonstration|reconnaissance|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|asset_seizure","show_of_force|reconnaissance|air_patrols|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|trade_restrictions|formal_multilateral_engagement|coalition_building|international_observers",8,11,0.0599784305784851,0.0695122799137607,10,0.477827811148018,0.87173372136429
"scenario_006",1,0.3485,"show_of_force|naval_demonstration|cyber_attack|intelligence_gathering|resource_embargo|targeted_sanctions","show_of_force|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|resource_embargo|targeted_sanctions|economic_sanctions|humanitarian_corridors|coalition_building|peace_talks",6,11,0.0197097687120549,-0.0575008755316958,10,0.137090888430364,0.662640563119203
"scenario_007",1,0.499,"limited_strike|naval_deployment|cyber_defense|information_campaign|counterintelligence|targeted_sanctions|asset_seizure","show_of_force|reconnaissance|military_exercises|cyber_defense|information_campaign|counterintelligence|targeted_sanctions|asset_seizure|war_bonds|public_diplomatic_initiative|formal_multilateral_engagement|cultural_exchange",7,12,0.192813910264522,-0.166357150441036,9.5579807588947,0.540706494171172,0.72491738860961
"scenario_008",1,0.5115,"limited_strike|naval_deployment|cyber_attack|sabotage|targeted_sanctions|currency_manipulation|resource_embargo","defensive_fortification|enhanced_patrols|reconnaissance|counterintelligence|cyber_defense|enhanced_intelligence_gathering|targeted_sanctions|currency_manipulation|humanitarian_corridors|coalition_building|prisoner_exchange",7,11,0.243670124518995,-0.0754175643427856,10,0.371822295710444,0.627771626047324
"scenario_009",1,0.4015,"limited_strike|naval_deployment|cyber_defense|counterintelligence|intelligence_gathering|targeted_sanctions|asset_seizure","show_of_force|military_exercises|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|trade_negotiation|coalition_building|formal_multilateral_engagement|international_observers",7,10,0.0559326751157641,-0.190244754962623,10,0.422786248102784,0.796318317297846
"scenario_010",1,0.4665,"limited_strike|naval_deployment|cyber_defense|counterintelligence|targeted_sanctions|asset_seizure|currency_manipulation","show_of_force|naval_demonstration|reconnaissance|cyber_defense|counterintelligence|information_campaign|targeted_sanctions|trade_restrictions|financial_aid|coalition_building|formal_multilateral_engagement|international_observers",7,12,0.117897016741335,-0.156380008230917,10,0.492183108215868,0.760428191162646
