"period","faction","faction_name","domain","priority","proposed_by","proposed_by_role","proposed_by_hawk","proposed_action","rationale","target","timestamp"
9,"major_power","Novaris","military","primary","General Viktor Krasnov","military",0.92,"military_buildup","Concentrate forces for a decisive northern offensive to exploit enemy overextension and break defensive stalemate.","northern_border","2026-02-09 15:48:16"
9,"major_power","Novaris","military","secondary","General Viktor Krasnov","military",0.92,"cyber_attack","Disrupt Tethys’ command-and-control systems to degrade coordination during the planned offensive.","Tethys","2026-02-09 15:48:16"
9,"major_power","Novaris","military","tertiary","General Viktor Krasnov","military",0.92,"show_of_force","Conduct high-visibility naval deployment to project strength domestically and deter third-party intervention.","self","2026-02-09 15:48:16"
9,"major_power","Novaris","intelligence","primary","Director Sergei Morozov","intelligence",0.58,"false_flag_operation","Stage a provocation to justify escalation and fracture international support for Tethys.","Tethys","2026-02-09 15:48:16"
9,"major_power","Novaris","intelligence","secondary","Director Sergei Morozov","intelligence",0.58,"sabotage","Cripple key pipeline nodes to pressure Tethys economically while masking Novaris’ role.","Tethys_energy_infrastructure","2026-02-09 15:48:16"
9,"major_power","Novaris","intelligence","tertiary","Director Sergei Morozov","intelligence",0.58,"share_intelligence","Leak selectively manipulated data to sow distrust between Tethys and its allies.","Meridian,Aurelia","2026-02-09 15:48:16"
9,"major_power","Novaris","economic","primary","Dr. Natasha Petrova","economic",0.25,"strategic_stockpiling","Secure critical imports now to insulate against worsening sanctions and supply chain collapse.","self","2026-02-09 15:48:16"
9,"major_power","Novaris","economic","secondary","Dr. Natasha Petrova","economic",0.25,"war_bonds","Mobilize domestic capital to fund military operations without triggering inflationary spirals.","self","2026-02-09 15:48:16"
9,"major_power","Novaris","economic","tertiary","Dr. Natasha Petrova","economic",0.25,"currency_manipulation","Devalue the ruble to boost export competitiveness in non-sanctioning markets and offset lost energy revenue.","none","2026-02-09 15:48:16"
9,"small_power","Tethys","military","primary","General Olena Bondar","military",0.88,"limited_strike","Disrupt Novaris' forward supply depots to delay their consolidation and signal resolve without triggering full escalation.","Novaris","2026-02-09 15:51:12"
9,"small_power","Tethys","military","secondary","General Olena Bondar","military",0.88,"naval_deployment","Position fast-attack craft along Tethys' coastal energy transit zones to asymmetrically threaten Novaris’ revenue flow and force naval diversion.","Tethys","2026-02-09 15:51:12"
9,"small_power","Tethys","military","tertiary","General Olena Bondar","military",0.88,"show_of_force","Conduct high-visibility mobile drills near northern border to boost domestic morale and signal allied readiness, leveraging pop-up defense networks.","self","2026-02-09 15:51:12"
9,"small_power","Tethys","intelligence","primary","Director Maksym Savchenko","intelligence",0.72,"sabotage","Deploy deep-agent cells to disable key rail chokepoints in Novaris’ rear logistics network, degrading their mobilization timeline.","Novaris","2026-02-09 15:51:12"
9,"small_power","Tethys","intelligence","secondary","Director Maksym Savchenko","intelligence",0.72,"cyber_attack","Launch disruptive cyber operations against Novaris’ military scheduling systems to create fog in deployment planning.","Novaris","2026-02-09 15:51:12"
9,"small_power","Tethys","intelligence","tertiary","Director Maksym Savchenko","intelligence",0.72,"false_flag_operation","Stage plausible deniability incidents to discredit Novaris’ narrative of victimhood in neutral states, fracturing their diplomatic support.","Novaris","2026-02-09 15:51:12"
9,"small_power","Tethys","diplomatic","primary","Minister Sofia Kovalenko","diplomatic",0.32,"coalition_building","Forge a binding mutual support pact with conditional basing rights to lock in allied commitments before Novaris intensifies pressure.","Meridian,Aurelia","2026-02-09 15:51:12"
9,"small_power","Tethys","diplomatic","secondary","Minister Sofia Kovalenko","diplomatic",0.32,"backchannel_negotiations","Initiate discreet talks through third-party envoys to explore off-ramps, preserving diplomatic flexibility if military situation deteriorates.","Novaris","2026-02-09 15:51:12"
9,"small_power","Tethys","diplomatic","tertiary","Minister Sofia Kovalenko","diplomatic",0.32,"humanitarian_corridors","Establish monitored corridors to position ourselves as responsible actors, drawing international oversight to Novaris’ territorial advances.","Tethys","2026-02-09 15:51:12"
9,"small_power","Tethys","economic","primary","Minister Taras Moroz","economic",0.28,"resource_embargo","Impose targeted restrictions on critical rare earth exports to choke Novaris’ defense manufacturing capacity and exploit supply chain fragility.","Novaris","2026-02-09 15:51:12"
9,"small_power","Tethys","economic","secondary","Minister Taras Moroz","economic",0.28,"strategic_stockpiling","Accelerate reserves of fuel, medical supplies, and microchips to extend endurance beyond six-month threshold and deter economic exhaustion.","self","2026-02-09 15:51:12"
9,"small_power","Tethys","economic","tertiary","Minister Taras Moroz","economic",0.28,"war_bonds","Issue sovereign defense bonds with diaspora-first terms to unlock non-inflationary funding while deepening national unity.","self","2026-02-09 15:51:12"
