"period","faction","faction_name","domain","priority","proposed_by","proposed_by_role","proposed_by_hawk","proposed_action","rationale","target","timestamp"
1,"major_power","Novaris","military","primary","General Viktor Krasnov","military",0.92,"limited_strike","A precision strike will exploit enemy overextension and collapsing morale, delivering a decisive blow before diplomacy gains momentum.","Tethys","2026-02-15 18:39:49"
1,"major_power","Novaris","military","secondary","General Viktor Krasnov","military",0.92,"naval_deployment","Forward-deploying naval assets in the disputed strait reinforces our dominance and threatens key adversary supply lines.","Tethys","2026-02-15 18:39:49"
1,"major_power","Novaris","military","tertiary","General Viktor Krasnov","military",0.92,"border_incursion","A rapid, shallow incursion will seize tactically vital ground and demonstrate our resolve to reclaim historically rightful territory.","Tethys","2026-02-15 18:39:49"
1,"major_power","Novaris","intelligence","primary","Director Sergei Morozov","intelligence",0.58,"cyber_attack","Disrupting Tethys’ critical infrastructure will exploit their weakening military cohesion and amplify economic strain without triggering open escalation.","Tethys","2026-02-15 18:39:49"
1,"major_power","Novaris","intelligence","secondary","Director Sergei Morozov","intelligence",0.58,"sabotage","Covertly sabotaging key supply depots will complement our military’s limited strike by degrading enemy logistics at a crucial moment.","Tethys","2026-02-15 18:39:49"
1,"major_power","Novaris","intelligence","tertiary","Director Sergei Morozov","intelligence",0.58,"false_flag_operation","Fabricating evidence of Tethys preparing WMD use will undermine their international support and justify our actions to neutral powers.","Tethys","2026-02-15 18:39:49"
1,"major_power","Novaris","economic","primary","Dr. Natasha Petrova","economic",0.25,"war_bonds","Issuing war bonds will mobilize domestic capital to offset sanction-driven deficits and fund critical military-industrial expansion.","self","2026-02-15 18:39:49"
1,"major_power","Novaris","economic","secondary","Dr. Natasha Petrova","economic",0.25,"trade_negotiation","Engaging neutral states in trade talks will diversify supply routes and weaken the cohesion of the sanctioning coalition.","neutral powers","2026-02-15 18:39:49"
1,"major_power","Novaris","economic","tertiary","Dr. Natasha Petrova","economic",0.25,"currency_manipulation","Devaluing our currency relative to Tethys undermines their export competitiveness and amplifies their economic instability.","Tethys","2026-02-15 18:39:49"
1,"small_power","Tethys","military","primary","General Olena Bondar","military",0.88,"defensive_fortification","We must harden our frontlines in the western corridor to blunt Novaris’s anticipated offensive and deny them quick gains.","self","2026-02-15 18:41:15"
1,"small_power","Tethys","military","secondary","General Olena Bondar","military",0.88,"enhanced_patrols","Increasing vigilance along contested sectors will disrupt enemy reconnaissance and deter surprise maneuvers.","self","2026-02-15 18:41:15"
1,"small_power","Tethys","military","tertiary","General Olena Bondar","military",0.88,"reconnaissance","Proactive intelligence gathering is essential to anticipate enemy movements and counter their buildup before it escalates.","Novaris","2026-02-15 18:41:15"
1,"small_power","Tethys","intelligence","primary","Director Maksym Savchenko","intelligence",0.72,"counterintelligence","We must urgently neutralize Novaris’s infiltration networks to protect our military deployments and prevent sabotage ahead of their western offensive.","self","2026-02-15 18:41:15"
1,"small_power","Tethys","intelligence","secondary","Director Maksym Savchenko","intelligence",0.72,"cyber_defense","Strengthening our critical systems against Novaris’s cyber intrusions is essential to maintain command integrity during the coming escalation.","self","2026-02-15 18:41:15"
1,"small_power","Tethys","intelligence","tertiary","Director Maksym Savchenko","intelligence",0.72,"enhanced_intelligence_gathering","Deepening our human and signals intelligence on enemy troop movements will provide early warning and targeting opportunities for defensive operations.","Novaris","2026-02-15 18:41:15"
1,"small_power","Tethys","economic","primary","Minister Taras Moroz","economic",0.28,"war_bonds","Issuing war bonds will mobilize domestic capital to sustain defense spending and stabilize public confidence amid economic collapse.","self","2026-02-15 18:41:15"
1,"small_power","Tethys","economic","secondary","Minister Taras Moroz","economic",0.28,"trade_negotiation","Negotiating emergency trade corridors with neutral states can bypass sanctions and secure critical imports without provoking further escalation.","neutral_powers","2026-02-15 18:41:15"
1,"small_power","Tethys","economic","tertiary","Minister Taras Moroz","economic",0.28,"currency_manipulation","Strategically devaluing our currency will boost export competitiveness and generate foreign exchange reserves to fund essential wartime imports.","self","2026-02-15 18:41:15"
1,"small_power","Tethys","diplomatic","primary","Minister Sofia Kovalenko","diplomatic",0.32,"formal_multilateral_engagement","With 75% international support, we must institutionalize our position by convening a formal multilateral forum led by neutral states to legitimize peace efforts and isolate Novaris diplomatically.","neutral powers","2026-02-15 18:41:15"
1,"small_power","Tethys","diplomatic","secondary","Minister Sofia Kovalenko","diplomatic",0.32,"coalition_building","Strengthening our diplomatic alignment with Tethys ensures unified messaging and maximizes pressure on Novaris within international institutions.","Tethys","2026-02-15 18:41:15"
1,"small_power","Tethys","diplomatic","tertiary","Minister Sofia Kovalenko","diplomatic",0.32,"international_observers","Deploying observers to conflict zones reinforces transparency, deters further aggression, and bolsters our credibility amid escalating military and humanitarian risks.","disputed regions","2026-02-15 18:41:15"
