"period","faction","faction_name","domain","priority","proposed_by","proposed_by_role","proposed_by_hawk","proposed_action","rationale","target","timestamp"
1,"major_power","Novaris","military","primary","General Viktor Krasnov","military",0.92,"military_buildup","A visible and sustained concentration of forces along the border will signal resolve and deter Tethyan miscalculation during a critical political window.","Tethys","2026-02-11 23:57:01"
1,"major_power","Novaris","military","secondary","General Viktor Krasnov","military",0.92,"limited_strike","Targeted strikes on forward Tethyan logistics hubs could disrupt reinforcement timelines without triggering full escalation.","Tethys","2026-02-11 23:57:01"
1,"major_power","Novaris","military","tertiary","General Viktor Krasnov","military",0.92,"cyber_attack","Disabling Tethyan command-and-control networks during exercises creates plausible deniability while degrading operational readiness.","Tethys","2026-02-11 23:57:01"
1,"major_power","Novaris","intelligence","primary","Director Sergei Morozov","intelligence",0.58,"sabotage","Covert disruption of key Tethyan energy infrastructure nodes will amplify economic pressure without direct military engagement.","Tethys","2026-02-11 23:57:01"
1,"major_power","Novaris","intelligence","secondary","Director Sergei Morozov","intelligence",0.58,"false_flag_operation","Orchestrating a staged incident could shift domestic and international narrative to justify further action.","Tethys","2026-02-11 23:57:01"
1,"major_power","Novaris","intelligence","tertiary","Director Sergei Morozov","intelligence",0.58,"leadership_targeting","Intelligence-driven targeting of mid-level Tethyan military planners degrades institutional coherence without overt assassination.","Tethys","2026-02-11 23:57:01"
1,"major_power","Novaris","economic","primary","Dr. Natasha Petrova","economic",0.25,"strategic_stockpiling","Securing reserves of critical energy inputs now insulates Novaris from Tethys-originating supply shocks during crisis escalation.","self","2026-02-11 23:57:01"
1,"major_power","Novaris","economic","secondary","Dr. Natasha Petrova","economic",0.25,"trade_negotiation","Diversifying export routes through neutral powers reduces long-term dependency on Tethys-linked infrastructure.","Meridian,Aurelia","2026-02-11 23:57:01"
1,"major_power","Novaris","economic","tertiary","Dr. Natasha Petrova","economic",0.25,"currency_manipulation","Subtle financial market operations can weaken Tethys' economic stability, reducing their capacity to sustain military mobilization.","Tethys","2026-02-11 23:57:01"
1,"small_power","Tethys","military","primary","General Olena Bondar","military",0.88,"limited_strike","A precision strike on forward Novaris logistics hubs will exploit their overextended supply lines and force a costly recalibration of their offensive posture.","Novaris","2026-02-11 23:58:43"
1,"small_power","Tethys","military","secondary","General Olena Bondar","military",0.88,"show_of_force","Conducting high-visibility air and armored exercises near the Tethys border will reinforce domestic morale and signal resolve without triggering full escalation.","self","2026-02-11 23:58:43"
1,"small_power","Tethys","military","tertiary","General Olena Bondar","military",0.88,"cyber_attack","Disrupting Novaris military communication networks through embedded cyber units can delay coordination and amplify friction in their command chain.","Novaris","2026-02-11 23:58:43"
1,"small_power","Tethys","intelligence","primary","Director Maksym Savchenko","intelligence",0.72,"sabotage","Covertly disable key pumping stations in Novaris’ energy export infrastructure transiting through Tethys to leverage economic pressure at minimal military cost.","Novaris","2026-02-11 23:58:43"
1,"small_power","Tethys","intelligence","secondary","Director Maksym Savchenko","intelligence",0.72,"false_flag_operation","Stage a plausible false-flag cyber intrusion implicating a third party to sow distrust in Novaris’ alliances and divert their strategic focus.","Novaris","2026-02-11 23:58:43"
1,"small_power","Tethys","intelligence","tertiary","Director Maksym Savchenko","intelligence",0.72,"share_intelligence","Leak verified data on Novaris’ troop fatigue and supply shortages to key neutral states to erode international confidence in Novaris’ campaign sustainability.","Meridian,Aurelia","2026-02-11 23:58:43"
1,"small_power","Tethys","diplomatic","primary","Minister Sofia Kovalenko","diplomatic",0.32,"coalition_building","Forge a non-aggression and mutual logistics support pact with regional neutrals to isolate Novaris diplomatically and secure alternative supply routes.","Meridian,Aurelia","2026-02-11 23:58:43"
1,"small_power","Tethys","diplomatic","secondary","Minister Sofia Kovalenko","diplomatic",0.32,"humanitarian_corridors","Establish UN-backed corridors to demonstrate moral leadership and create de-escalation leverage while highlighting Novaris as the obstructionist party.","Tethys","2026-02-11 23:58:43"
1,"small_power","Tethys","diplomatic","tertiary","Minister Sofia Kovalenko","diplomatic",0.32,"backchannel_negotiations","Initiate discreet talks through a neutral envoy to explore face-saving disengagement terms, preserving strategic flexibility without public commitment.","Novaris","2026-02-11 23:58:43"
1,"small_power","Tethys","economic","primary","Minister Taras Moroz","economic",0.28,"strategic_stockpiling","Accelerate accumulation of critical spare parts, energy reserves, and medical supplies to extend operational endurance beyond projected resource depletion timelines.","self","2026-02-11 23:58:43"
1,"small_power","Tethys","economic","secondary","Minister Taras Moroz","economic",0.28,"resource_embargo","Restrict re-export of dual-use components through third-party intermediaries to incrementally degrade Novaris’ maintenance capacity without triggering open retaliation.","Novaris","2026-02-11 23:58:43"
1,"small_power","Tethys","economic","tertiary","Minister Taras Moroz","economic",0.28,"war_bonds","Launch a patriotic war bond campaign targeting domestic savings and diaspora capital to fund resilience measures while reducing reliance on volatile foreign financing.","self","2026-02-11 23:58:43"
