"period","faction","faction_name","domain","priority","proposed_by","proposed_by_role","proposed_by_hawk","proposed_action","rationale","target","timestamp"
1,"major_power","Novaris","military","primary","General Viktor Krasnov","military",0.92,"defensive_fortification","We consolidate our gains not by reckless advance, but by turning every meter of captured ground into a tomb for the enemy—let them bleed trying to take it back.",NA,"2026-02-01 11:06:49"
1,"major_power","Novaris","military","secondary","General Viktor Krasnov","military",0.92,"troop_movements","Rotating fresh brigades into the rear zones maintains pressure and keeps Tethys guessing—our restraint is tactical, not strategic.",NA,"2026-02-01 11:06:49"
1,"major_power","Novaris","military","tertiary","General Viktor Krasnov","military",0.92,"show_of_force","A visible mobilization along the secondary front reminds all who doubt our resolve that Novaris does not negotiate from weakness.",NA,"2026-02-01 11:06:49"
1,"major_power","Novaris","intelligence","primary","Director Sergei Morozov","intelligence",0.58,"intelligence_gathering","If we are to act, we must see clearly—our priority is penetrating Tethys’ command structure and energy security planning before any decision point.",NA,"2026-02-01 11:06:49"
1,"major_power","Novaris","intelligence","secondary","Director Sergei Morozov","intelligence",0.58,"counterintelligence","With heightened tensions, foreign assets will swarm us; we must clean house now before they exploit our vulnerabilities.",NA,"2026-02-01 11:06:49"
1,"major_power","Novaris","intelligence","tertiary","Director Sergei Morozov","intelligence",0.58,"cyber_theft","Stealing Tethys’ logistical and reserve deployment data gives us asymmetric leverage—knowledge is the decisive terrain.",NA,"2026-02-01 11:06:49"
1,"major_power","Novaris","economic","primary","Dr. Natasha Petrova","economic",0.25,"trade_restrictions","We cannot afford to lose 30% of energy revenue, but we can strangle Tethys’ luxury imports to force concessions without triggering full rupture.",NA,"2026-02-01 11:06:49"
1,"major_power","Novaris","economic","secondary","Dr. Natasha Petrova","economic",0.25,"resource_embargo","Targeted halt on rare earth exports pressures their tech sector and defense industry while leaving diplomatic off-ramps.",NA,"2026-02-01 11:06:49"
1,"major_power","Novaris","economic","tertiary","Dr. Natasha Petrova","economic",0.25,"currency_manipulation","Quiet devaluation of our rouble reduces dependency on Tethyan transit fees by making alternative overland routes more viable long-term.",NA,"2026-02-01 11:06:49"
1,"small_power","Tethys","military","primary","General Olena Bondar","military",0.88,"limited_strike","The enemy’s overextension is our opening—targeting forward logistics nodes will bleed their momentum and prove we won’t just dig in and die.",NA,"2026-02-01 11:08:06"
1,"small_power","Tethys","military","secondary","General Olena Bondar","military",0.88,"troop_movements","Shifting armored reserves to secondary axes keeps Novaris guessing and prevents them from massing for another breakthrough.",NA,"2026-02-01 11:08:06"
1,"small_power","Tethys","military","tertiary","General Olena Bondar","military",0.88,"show_of_force","A high-visibility armored parade near the capital will rally the people and signal resolve—morale is a weapon too.",NA,"2026-02-01 11:08:06"
1,"small_power","Tethys","intelligence","primary","Director Maksym Savchenko","intelligence",0.72,"sabotage","We have confirmation of Novaris’s supply strain—now is the time to hit their rail hubs and fuel depots covertly and deepen their operational paralysis.",NA,"2026-02-01 11:08:06"
1,"small_power","Tethys","intelligence","secondary","Director Maksym Savchenko","intelligence",0.72,"cyber_attack","Disrupting their military logistics networks will amplify physical sabotage and create cascading delays they can’t explain publicly.",NA,"2026-02-01 11:08:06"
1,"small_power","Tethys","intelligence","tertiary","Director Maksym Savchenko","intelligence",0.72,"false_flag_operation","A well-planted incident in a neutral zone could fracture Novaris’s domestic support and force them to divert resources inward.",NA,"2026-02-01 11:08:06"
1,"small_power","Tethys","diplomatic","primary","Minister Sofia Kovalenko","diplomatic",0.32,"backchannel_negotiations","While the guns pause, we must probe Novaris’s true red lines—this crisis won’t end on the battlefield alone.",NA,"2026-02-01 11:08:06"
1,"small_power","Tethys","diplomatic","secondary","Minister Sofia Kovalenko","diplomatic",0.32,"mediation_offer","Offering a neutral third party to facilitate talks positions us as responsible and could expose Novaris as the intransigent party.",NA,"2026-02-01 11:08:06"
1,"small_power","Tethys","economic","primary","Minister Taras Moroz","economic",0.28,"resource_embargo","Novaris depends on Tethys for 30% of its energy revenue—we cut that flow, and we cut their war chest at its source.",NA,"2026-02-01 11:08:06"
1,"small_power","Tethys","economic","secondary","Minister Taras Moroz","economic",0.28,"trade_restrictions","Secondary pressure on dual-use imports will strangle their defense industry’s ability to replace lost equipment.",NA,"2026-02-01 11:08:06"
