scenario_id,condition,agent_id,framework_name,method,lens,focus,bias,information_fraction,probability,confidence,rationale,fallback_type
scenario_001,framework_baseline,2,scenario_tree_loss_averse_military_anchoring,scenario_tree,loss_averse,military,anchoring,1.0,0.67,medium,"Anchoring on the 63.4% territory remaining (36.6% lost), with loss-averse weighting this signals severe distress. Military balance at -0.05 is deceptively neutral—Novaris's 40% mobilization with sustained pressure creates cumulative attrition. The 10/10 crisis level and 36.6% territorial loss (irreversible, weighted 2x) dominate economic gains. Scenario tree: Full invasion/collapse (0.25), negotiated settlement removing leadership (0.30), protracted attrition leading to coup (0.20), frozen conflict with survival (0.20), international rescue (0.05). Weighted collapse probability: 0.25*0.85 + 0.30*0.70 + 0.20*0.60 + 0.20*0.15 + 0.05*0.05 = 0.67.",
scenario_001,framework_baseline,1,structural_loss_averse_holistic_none,structural,loss_averse,holistic,none,1.0,0.5,low,Error,api_error
scenario_001,framework_baseline,6,key_indicator_loss_averse_military_sunk_cost,key_indicator,loss_averse,military,sunk_cost,1.0,0.5,low,Error,api_error
scenario_001,framework_baseline,0,base_rate_resilience_focused_economic_availability,base_rate,resilience_focused,economic,availability,1.0,0.12,medium,"Base rate for government collapse in comparable militarized interstate crises with substantial international support and no active territorial seizure is approximately 15%. Economic factors dominate: Tethys GDP at 75% of baseline ($22.5B/$30B) indicates significant but not catastrophic pressure—well above collapse thresholds typically seen at 40-50% GDP loss. The 59% international support and Meridian's coalition building provide stabilizing anchors. Defender economic crisis is concerning but partially offset by Tethys's asymmetric capabilities and pipeline leverage over Novaris energy revenues. Military balance near parity (-0.05) with defensive advantages and no territorial loss beyond initial 36.6% suggests governing capacity remains intact. Resilience-focused interpretation: Tethys has demonstrated adaptation capacity, international commitment is materializing not retreating, and 63.4% territorial control preserves core state functions. Downward adjustment from base rate applied for institutional resilience and stabilizing external actor actions (Aurelia backchannels, IO humanitarian corridors). Availability bias check: vivid scenarios of economic implosion or military breakthrough are imaginable but not yet materialized—actual conditions support muddling-through trajectory.",
scenario_001,framework_baseline,8,base_rate_resilience_focused_holistic_anchoring,base_rate,resilience_focused,holistic,anchoring,1.0,0.5,low,Error,api_error
scenario_001,framework_baseline,7,structural_detached_economic_normalcy,structural,detached,economic,normalcy,1.0,0.5,low,Error,api_error
scenario_001,framework_baseline,4,key_indicator_contrarian_military_overconfidence,key_indicator,contrarian,military,overconfidence,1.0,0.5,low,Error,api_error
scenario_001,framework_baseline,3,scenario_tree_threat_focused_events_normalcy,scenario_tree,threat_focused,events,normalcy,1.0,0.5,low,Error,api_error
scenario_001,framework_baseline,5,base_rate_detached_economic_confirmation,base_rate,detached,economic,confirmation,1.0,0.5,low,Error,api_error
scenario_001,framework_baseline,9,structural_threat_focused_holistic_sunk_cost,structural,threat_focused,holistic,sunk_cost,1.0,0.5,low,Error,api_error
scenario_001,framework_shard,2,base_rate_loss_averse_economic_recency,base_rate,loss_averse,economic,recency,0.7306465250823431,0.67,medium,"Base rate for government collapse in high-intensity territorial crises with 35%+ territory loss is approximately 0.45. Tethys has suffered catastrophic and largely irreversible losses: 36.6% territorial loss (heavily weighted), 25% GDP collapse to $22.5B, and severe economic disruption. The military balance at -0.05 slightly favors Novaris despite Tethys's defensive advantages. Recent battlefield stabilization is modestly positive but overwhelmed by accumulated economic damage. International support at 59% and sanctions at 71% on Novaris provide some buffer, but Tethys's fiscal sustainability is critically compromised. The 25% GDP loss and 36.6% territorial loss—both recent and severe—dominate the assessment through the loss-averse lens, pushing probability well above base rate despite defensive military position.",
scenario_001,framework_shard,5,base_rate_resilience_focused_economic_availability,base_rate,resilience_focused,economic,availability,0.13163721115407878,0.5,low,Error,api_error
scenario_001,framework_shard,1,scenario_tree_threat_focused_political_anchoring,scenario_tree,threat_focused,political,anchoring,0.5885375330832409,0.5,low,Error,api_error
scenario_001,framework_shard,7,base_rate_contrarian_military_recency,base_rate,contrarian,military,recency,0.4221801546810456,0.17,medium,"Base rate of government collapse in military pressure campaigns without full invasion is historically low (~15%). Recent battlefield stabilization favors Tethys, with defensive advantages and asymmetric capabilities holding. Despite Novaris's 40% mobilization and 'decisive pressure campaign,' actual territorial control unchanged at Day 0, and Tethys's precision strike capacity creates credible deterrence against escalation. Economic pressure on Tethys is partially offset by international support (59%) and sanctions on Novaris (71%), while covert operations have not yet produced visible regime-threatening effects. Conventional analysts likely overestimate collapse risk by overweighting Novaris's size advantage and 'historical reunification' rhetoric while underweighting defensive warfare advantages and the stabilizing effect of immediate international backlash.",
scenario_001,framework_shard,8,key_indicator_contrarian_political_confirmation,key_indicator,contrarian,political,confirmation,0.29516006924640587,0.5,low,Error,api_error
scenario_001,framework_shard,3,key_indicator_resilience_focused_political_sunk_cost,key_indicator,resilience_focused,political,sunk_cost,0.810803245070744,0.13,high,"International support at 59% with active coalition building by Meridian represents the decisive variable, creating sunk cost dynamics that psychologically commit allies to prevent collapse despite Tethys's economic crisis. Institutional resilience and stabilizing battlefield developments further mitigate territorial loss risks, while prior diplomatic and military investments by external powers make abandonment politically untenable.",
scenario_001,framework_shard,4,structural_resilience_focused_political_overconfidence,structural,resilience_focused,political,overconfidence,0.5174026152124028,0.08,high,"Tethys's survival is structurally assured by Meridian's formal security commitment and active coalition-building efforts, providing durable political backing weighted heavily against Novarian pressure. Combined with geographic defensive advantages, asymmetric deterrence capabilities that impose severe costs on invasion, and resilient democratic institutions capable of adaptation under stress, the government possesses overwhelming capacity to withstand economic coercion and military posturing without collapse.",
scenario_001,framework_shard,9,base_rate_contrarian_events_availability,base_rate,contrarian,events,availability,0.9234517532135058,0.5,low,Error,api_error
scenario_001,framework_shard,6,historical_analogy_detached_holistic_recency,historical_analogy,detached,holistic,recency,0.4477303859922664,0.5,low,Error,api_error
scenario_001,framework_shard,0,key_indicator_threat_focused_military_sunk_cost,key_indicator,threat_focused,military,sunk_cost,0.41929293265538164,0.76,medium,"The single most diagnostic variable—sustained military resistance capacity—is critically compromised by Tethys's acute economic buckling (GDP collapsed to $22.5B) amid maximum crisis intensity, while Novaris maintains overwhelming force generation advantages (3:1 GDP ratio) and prepares simulated amphibious assaults; although sunk costs invested by Meridian and allies create commitment to Tethys's survival, domestic constraints prevent decisive military intervention, and the defender's economic-military exhaustion under sustained territorial pressure creates severe governing collapse risk through capitulation or loss of administrative control.",
scenario_002,framework_baseline,1,historical_analogy_loss_averse_political_normalcy,historical_analogy,loss_averse,political,normalcy,1.0,0.5,low,Error,api_error
scenario_002,framework_baseline,4,key_indicator_resilience_focused_events_sunk_cost,key_indicator,resilience_focused,events,sunk_cost,1.0,0.5,low,Error,api_error
scenario_002,framework_baseline,3,base_rate_contrarian_events_overconfidence,base_rate,contrarian,events,overconfidence,1.0,0.5,low,Error,api_error
scenario_002,framework_baseline,2,base_rate_resilience_focused_holistic_anchoring,base_rate,resilience_focused,holistic,anchoring,1.0,0.5,low,Error,api_error
scenario_002,framework_baseline,5,key_indicator_loss_averse_events_recency,key_indicator,loss_averse,events,recency,1.0,0.5,low,Error,api_error
scenario_002,framework_baseline,0,scenario_tree_resilience_focused_political_recency,scenario_tree,resilience_focused,political,recency,1.0,0.07,medium,"Recent diplomatic momentum strongly favors Tethys stability: Meridian's coalition building, Valkoria's proxy support, Aurelia's backchannel negotiations, and dual neutral peace proposals create dense political scaffolding. The battlefield stabilization with defensive advantages reinforces Tethys's resilience posture. While the cyber attack on telecommunications and 37.5% territorial loss are serious, these are absorbed within institutional adaptive capacity—cyber attacks are now routine statecraft, not existential threats. International support at 57% with growing sanctions on Novaris (41%) and humanitarian corridor establishment signal durable external commitment. The most recent signals—peace frameworks proliferating, defensive lines holding, coalition deepening—overweight against structural vulnerabilities. Economic contraction to 64% GDP is severe but survivable given energy transit leverage and international aid pipelines opening. Scenario tree yields 7% collapse probability: 55% diplomatic freeze/defensive success (2% collapse), 25% limited escalation/stalemate (10% collapse), 15% negotiated settlement (5% collapse), 4% Novaris breakthrough (80% collapse), 1% internal Tethys crisis (60% collapse) = 0.55×0.02 + 0.25×0.10 + 0.15×0.05 + 0.04×0.80 + 0.01×0.60 = 0.011 + 0.025 + 0.0075 + 0.032 + 0.006 = 0.0815, adjusted downward to 0.07 per resilience-focused interpretive calibration favoring stabilizing readings of ambiguous cyber and economic stress indicators.",
scenario_002,framework_baseline,6,structural_resilience_focused_economic_normalcy,structural,resilience_focused,economic,normalcy,1.0,0.5,low,Error,api_error
scenario_002,framework_baseline,8,scenario_tree_detached_military_anchoring,scenario_tree,detached,military,anchoring,1.0,0.5,low,Error,api_error
scenario_002,framework_baseline,7,key_indicator_loss_averse_political_recency,key_indicator,loss_averse,political,recency,1.0,0.5,low,Error,api_error
scenario_002,framework_baseline,9,structural_detached_political_none,structural,detached,political,none,1.0,0.5,low,Error,api_error
scenario_002,framework_shard,1,historical_analogy_resilience_focused_holistic_recency,historical_analogy,resilience_focused,holistic,recency,0.3197828112513235,0.5,low,Error,api_error
scenario_002,framework_shard,0,scenario_tree_detached_political_normalcy,scenario_tree,detached,political,normalcy,0.7351204694905861,0.5,low,Error,api_error
scenario_002,framework_shard,3,base_rate_contrarian_holistic_availability,base_rate,contrarian,holistic,availability,0.9030064787263051,0.5,low,Error,api_error
scenario_002,framework_shard,4,key_indicator_loss_averse_events_recency,key_indicator,loss_averse,events,recency,0.7133031804953751,0.5,low,Error,api_error
