condition,period,agent_id,persona_id,probability,confidence,reasoning,timestamp,success,error,raw_response
generic_independent,6,generic_007,,0.15,medium,"The Tethys government is benefiting from strong international support, successful defensive military actions, and active coalition-building, which bolster its resilience. While comprehensive sanctions on Novaris may escalate pressure, there is no indication of internal collapse or imminent removal, as the government appears stable and externally backed.",2026-02-10T14:48:14.068404,True,,"Probability: 0.15 (15%)  
Confidence: Medium  
Reasoning: The Tethys government is benefiting from strong international support, successful defensive military actions, and active coalition-building, which bolster its resilience. While comprehensive sanctions on Novaris may escalate pressure, there is no indication of internal collapse or imminent removal, as the government appears stable and externally backed."
generic_independent,6,generic_005,,0.15,medium,"The Tethys government is currently bolstered by strong international support, successful defensive military actions, and a comprehensive sanctions regime against Novaris. While the crisis is volatile, there are no observable indicators of internal political collapse, such as mass protests, leadership fractures, or economic implosion—factors typically required for government removal.",2026-02-10T14:48:14.196435,True,,"Probability: 0.15 (15%)  
Confidence: Medium  
Reasoning: The Tethys government is currently bolstered by strong international support, successful defensive military actions, and a comprehensive sanctions regime against Novaris. While the crisis is volatile, there are no observable indicators of internal political collapse, such as mass protests, leadership fractures, or economic implosion—factors typically required for government removal."
generic_independent,6,generic_009,,0.05,medium,"The Tethys government is mounting a successful defense, has strong and growing international support, and benefits from intensified sanctions against Novaris. There are no observable indicators of internal instability, military collapse, or political removal; the government appears resilient and externally backed, making its downfall within one week extremely unlikely.",2026-02-10T14:48:14.338368,True,,"Probability: 0.05 (5%)  
Confidence: Medium  
Reasoning: The Tethys government is mounting a successful defense, has strong and growing international support, and benefits from intensified sanctions against Novaris. There are no observable indicators of internal instability, military collapse, or political removal; the government appears resilient and externally backed, making its downfall within one week extremely unlikely."
generic_independent,6,generic_003,,0.1,medium,"The Tethys government shows resilience through successful defense, strong international backing, and active coalition-building, while Novaris faces increasing diplomatic isolation and sanctions pressure. A government collapse within one week is unlikely absent a sudden military defeat or internal coup, neither of which is indicated in the current intelligence.",2026-02-10T14:48:14.391621,True,,"Probability: 0.10 (10%)  
Confidence: Medium  
Reasoning: The Tethys government shows resilience through successful defense, strong international backing, and active coalition-building, while Novaris faces increasing diplomatic isolation and sanctions pressure. A government collapse within one week is unlikely absent a sudden military defeat or internal coup, neither of which is indicated in the current intelligence."
generic_independent,6,generic_002,,0.05,medium,"The Democratic Commonwealth of Tethys is currently mounting a determined defense with strong and growing international support, and no territory has changed hands. The observed actions—such as coalition-building, intelligence sharing, and successful defense of key positions—indicate resilience rather than imminent collapse. While the crisis is volatile, the balance of factors suggests a very low probability of governmental overthrow within the next week.",2026-02-10T14:48:14.499974,True,,"Probability: 0.05 (5%)  
Confidence: Medium  
Reasoning: The Democratic Commonwealth of Tethys is currently mounting a determined defense with strong and growing international support, and no territory has changed hands. The observed actions—such as coalition-building, intelligence sharing, and successful defense of key positions—indicate resilience rather than imminent collapse. While the crisis is volatile, the balance of factors suggests a very low probability of governmental overthrow within the next week."
generic_independent,6,generic_004,,0.05,medium,"Tethys's government is currently demonstrating resilience through successful defense, strong international backing, and proactive coalition-building, while Novaris is facing mounting diplomatic and economic pressure. There is no indication of internal instability or military collapse that would precipitate a government overthrow within this short timeframe. The primary risk remains external military escalation, but regime change is not an imminent outcome.",2026-02-10T14:48:14.568060,True,,"Probability: 0.05 (5%)  
Confidence: Medium  
Reasoning: Tethys's government is currently demonstrating resilience through successful defense, strong international backing, and proactive coalition-building, while Novaris is facing mounting diplomatic and economic pressure. There is no indication of internal instability or military collapse that would precipitate a government overthrow within this short timeframe. The primary risk remains external military escalation, but regime change is not an imminent outcome."
generic_independent,6,generic_008,,0.15,medium,"The Tethys government shows strong resilience with determined defense, growing international support, and proactive diplomatic and economic measures. While the crisis is at maximum intensity, there is no indication of internal collapse or external removal; the primary risk stems from the volatility of the conflict, but the balance of factors favors governmental stability in the short term.",2026-02-10T14:48:14.573777,True,,"Probability: 0.15 (15%)  
Confidence: Medium  
Reasoning: The Tethys government shows strong resilience with determined defense, growing international support, and proactive diplomatic and economic measures. While the crisis is at maximum intensity, there is no indication of internal collapse or external removal; the primary risk stems from the volatility of the conflict, but the balance of factors favors governmental stability in the short term."
generic_independent,6,generic_000,,0.05,medium,"The current military and diplomatic momentum favors Tethys, which is successfully defending key positions and enjoys strong international backing. A government collapse is highly unlikely in the short term, given Tethys's internal cohesion, external support, and the absence of severe internal instability indicators. The probability reflects a low-probability tail risk from extreme escalation or unforeseen internal fractures.",2026-02-10T14:48:14.956925,True,,"Probability: 0.05 (5%)  
Confidence: Medium  
Reasoning: The current military and diplomatic momentum favors Tethys, which is successfully defending key positions and enjoys strong international backing. A government collapse is highly unlikely in the short term, given Tethys's internal cohesion, external support, and the absence of severe internal instability indicators. The probability reflects a low-probability tail risk from extreme escalation or unforeseen internal fractures."
generic_independent,6,generic_006,,0.1,medium,"Tethys is mounting a determined defense with strong international support, including sanctions against Novaris and successful tactical defense of key positions. There are no indicators of internal instability, regime fragility, or military collapse; instead, Tethys is engaged in coalition-building and humanitarian efforts. The probability of government collapse within one week remains low absent a major battlefield reversal or internal coup, neither of which is currently evident.",2026-02-10T14:48:14.997348,True,,"Probability: 0.10 (10%)  
Confidence: Medium  
Reasoning: Tethys is mounting a determined defense with strong international support, including sanctions against Novaris and successful tactical defense of key positions. There are no indicators of internal instability, regime fragility, or military collapse; instead, Tethys is engaged in coalition-building and humanitarian efforts. The probability of government collapse within one week remains low absent a major battlefield reversal or internal coup, neither of which is currently evident."
generic_independent,6,generic_001,,0.15,medium,"The current military and diplomatic momentum favors Tethys, which has successfully defended key positions, enjoys strong international support, and faces a Novaris under increasing sanctions pressure. While the crisis is volatile, there is no indication of internal instability or military collapse sufficient to remove Tethys’s government within the next week. The base rate for government overthrow in such defended, internationally-backed states during short-term crises is low.",2026-02-10T14:48:15.072610,True,,"Probability: 0.15 (15%)  
Confidence: Medium  
Reasoning: The current military and diplomatic momentum favors Tethys, which has successfully defended key positions, enjoys strong international support, and faces a Novaris under increasing sanctions pressure. While the crisis is volatile, there is no indication of internal instability or military collapse sufficient to remove Tethys’s government within the next week. The base rate for government overthrow in such defended, internationally-backed states during short-term crises is low."
