scenario_id,condition,agent_id,framework_name,information_fraction,probability,confidence,rationale,fallback_type
scenario_001,framework_baseline,3,historical_analogy,1.0,0.28,medium,"The best historical parallel is the 2014-2022 Russia-Ukraine conflict prior to the full-scale invasion. Ukraine's government did not collapse despite similar pressure, anchoring this probability low. Key adjustments: Tethys has even stronger asymmetric capabilities and international support than Ukraine did initially (making collapse less likely), but faces a more acute defender economic crisis in this period (making collapse slightly more likely).",
scenario_001,framework_baseline,2,scenario_tree,1.0,0.24,medium,"The estimated probability is driven by a scenario where Novaris launches a full-scale invasion (30% chance, with an 80% conditional collapse), which outweighs lower-collapse probability scenarios like a frozen conflict or negotiated settlement. While Tethys's defensive position and high international support are stabilizing, the significant economic strain and risk of a decisive military escalation create a meaningful risk of government failure.",
scenario_001,framework_baseline,0,base_rate,1.0,0.12,medium,"The base rate for government collapse in a peacetime pressure campaign without major territorial loss is low (~15%). Key downward adjustments include the stable frontline with defensive advantages and significant international support/sanctions. Upward pressure from the defender's economic crisis is partially offset by these stabilizing factors, leading to a modest final probability.",
scenario_001,framework_baseline,5,best_case,1.0,0.12,medium,"Tethys retains 63.4% territory with battlefield stabilization (-0.05 military balance indicates near-parity) and strong international support (59%) creating substantial deterrence. The Meridian security commitment, humanitarian corridors, and asymmetric capabilities provide resilience buffers against Novaris's economic coercion, while continued democratic legitimacy and defender advantage suggest high survival capacity despite economic pressures.",
scenario_001,framework_baseline,7,structural,1.0,0.18,medium,"Structurally, Tethys possesses significant defensive advantages: it retains over 60% of its territory, has formidable asymmetric military capabilities, and its institutional resilience is bolstered by strong international support, including a Meridian security commitment. While its economy is under severe strain (GDP down 25%), the government faces no imminent internal coup, and the conflict appears stabilized at the front. The probability of collapse is low because Tethys’s governance capacity remains intact and the international coalition is actively supporting its sovereignty, making a decisive Novaris victory or internal overthrow unlikely in the short term.",
scenario_001,framework_baseline,1,key_indicator,1.0,0.28,medium,"The key indicator is Tethys's territorial control, which remains at 63.4%, showing significant but not catastrophic loss. Historically, government collapse risk sharply increases below 50% control. Secondary factors include economic decline (GDP down 25%) and strong international support (59%), which help mitigate collapse risk despite the ongoing crisis.",
scenario_001,framework_baseline,4,worst_case,1.0,0.62,medium,"The worst-case reading shows Tethys's economy has collapsed by 25% under severe wartime pressure, international support is insufficient to prevent Novaris's advance, and internal instability from territorial loss and economic crisis could trigger a coup or capitulation. Despite battlefield stabilization and diplomatic efforts, the combination of economic buckling, high sanctions not deterring Novaris, and potential collapse of governance from continued attrition poses a significant risk.",
scenario_001,framework_baseline,6,trend,1.0,0.35,medium,"The key deteriorating trend for Tethys is the severe GDP collapse (-25%), indicating a buckling economy, while the stabilized frontline provides short-term reprieve but no reversal of the 36.6% territorial loss. However, accelerating international support (+59%) and sanctions on Novaris (+71%) show a strong counter-trend and impose a growing cost on the aggressor, making outright Novaris victory and regime imposition less probable within this period. The stabilization of the battlefield (decelerating military change) suggests conflict settling into a war of attrition, not an imminent collapse.",
scenario_001,framework_baseline,8,game_theoretic,1.0,0.18,medium,"Tethys faces severe economic pressure (GDP down 25%) and territorial loss, but retains strong defensive military capabilities (asymmetric warfare advantage) and high international support (59%) backed by Meridian's coalition building. The equilibrium analysis suggests Novaris, while inflicting costs, faces high costs of full conquest from Tethys's resolve and external sanctions (71%), making a stable, non-collapse outcome more rational for both sides in this period.",
scenario_001,framework_baseline,9,devils_advocate,1.0,0.4,medium,"Contrarian analysis suggests Tethys's government faces significant collapse risks due to economic deterioration (GDP down 25%) eroding domestic resilience, international support being largely symbolic without decisive military intervention, and Novaris's ability to sustain pressure despite sanctions through energy revenues and potential internal cohesion from nationalist fervor. While conventional wisdom sees defensive stability, these factors could trigger internal fracture or capitulation under prolonged strain.",
scenario_001,framework_shard,0,base_rate,0.0695653167636291,0.28,medium,"The base rate for government collapse in asymmetric conflicts where a smaller state faces pressure from a larger power but retains defensive capabilities and international support is historically around 15-20%. Adjusting upward for Tethys's economic vulnerability due to energy transit reliance and Meridian's political constraints on intervention, but downward for its asymmetric military capabilities, battlefield stabilization, and ongoing diplomatic channels, results in a modestly elevated probability.",
scenario_001,framework_shard,3,historical_analogy,0.14270124480163376,0.32,medium,"Anchoring on the Finland-Soviet Winter War (1939-40), where Finland retained its government despite military pressure and territorial losses, then adjusting for differences: Tethys has stronger international support (59% vs. limited for Finland), making collapse less likely; but faces a more severe economic and potential energy cutoff threat from Novaris, making collapse more likely. The net adjustment slightly increases the probability from Finland's outcome of successful resistance, but overall government collapse remains unlikely in Period 1 given Meridian's security commitment and Tethys's preparations.",
scenario_001,framework_shard,5,best_case,0.7042170448014767,0.05,high,"Tethys's government shows strong resilience through substantial international support, asymmetric military capabilities that deter invasion, and economic leverage via pipeline control creating mutual dependence. The defensive terrain and stabilizing battlefield developments, combined with Meridian's security commitment and international diplomatic efforts, provide robust buffers against collapse; the government retains high legitimacy and survival imperative.",
scenario_001,framework_shard,4,worst_case,0.9302893435970919,0.38,medium,"A worst-case analysis focuses on the severe economic crisis in Tethys (GDP down 25%), which could trigger internal political instability, mass discontent, or loss of governing capacity, especially when combined with potential battlefield stabilization that locks in a costly attritional conflict Tethys cannot afford. While international support remains strong and asymmetric military capabilities provide a deterrent, under pessimistic interpretation, economic collapse could cascade into loss of public confidence, elite defections, or a forced settlement under Novaris pressure before external support translates into decisive relief.",
scenario_001,framework_shard,6,trend,0.24086659588047377,0.23,medium,"The crisis level is at maximum (10/10) with Novaris mobilizing 40% of its military and international support for Tethys at a moderate 59%, indicating significant pressure, but momentum analysis shows Tethys is mobilizing defensively, Meridian has reaffirmed security commitments, and international diplomacy is intensifying, suggesting stabilizing factors are countering deterioration. The rate of change is decelerating toward a stalemate rather than accelerating toward collapse, but the high crisis level and historical claims by Novaris introduce substantial risk.",
