"period","faction","faction_name","domain","priority","proposed_by","proposed_by_role","proposed_by_hawk","proposed_action","rationale","target","timestamp"
1,"major_power","Novaris","military","primary","General Viktor Krasnov","military",0.92,"limited_strike","A precision strike will exploit our operational window and shatter enemy morale while avoiding escalation to full warfare.","Tethys","2026-02-15 16:22:44"
1,"major_power","Novaris","military","secondary","General Viktor Krasnov","military",0.92,"naval_deployment","Forward-deploying our Black Sea fleet reinforces pressure on Tethys and secures maritime lines for future operations.","Tethys","2026-02-15 16:22:44"
1,"major_power","Novaris","military","tertiary","General Viktor Krasnov","military",0.92,"border_incursion","A rapid, shallow incursion will test enemy defenses and create leverage for political gains in ceasefire negotiations.","Tethys","2026-02-15 16:22:44"
1,"major_power","Novaris","intelligence","primary","Director Sergei Morozov","intelligence",0.58,"cyber_defense","Strengthening our critical infrastructure defenses is essential to prevent further disruptions to energy systems and maintain operational continuity amid escalating cyber threats.","self","2026-02-15 16:22:44"
1,"major_power","Novaris","intelligence","secondary","Director Sergei Morozov","intelligence",0.58,"counterintelligence","Proactive counterintelligence operations will disrupt enemy espionage networks seeking to exploit our economic vulnerabilities and internal dissent.","Tethys","2026-02-15 16:22:44"
1,"major_power","Novaris","intelligence","tertiary","Director Sergei Morozov","intelligence",0.58,"information_campaign","A coordinated information campaign will reinforce domestic and international perceptions of resolve and legitimacy, offsetting Western narrative dominance.","none","2026-02-15 16:22:44"
1,"major_power","Novaris","economic","primary","Dr. Natasha Petrova","economic",0.25,"targeted_sanctions","Targeting key Tethysian financial institutions and defense-sector supply chains will amplify economic pressure without triggering broad humanitarian fallout that could erode our international neutrality bloc support.","Tethys","2026-02-15 16:22:44"
1,"major_power","Novaris","economic","secondary","Dr. Natasha Petrova","economic",0.25,"asset_seizure","Seizing offshore assets linked to Tethysian leadership exploits our intelligence leads and signals resolve, complementing military strikes by increasing the cost of continued resistance.","Tethys","2026-02-15 16:22:44"
1,"major_power","Novaris","economic","tertiary","Dr. Natasha Petrova","economic",0.25,"currency_manipulation","Controlled devaluation of our currency will bolster export competitiveness and offset sanction-driven import shortfalls, stabilizing domestic markets amid escalating financial warfare.","self","2026-02-15 16:22:44"
1,"small_power","Tethys","military","primary","General Olena Bondar","military",0.88,"show_of_force","A visible demonstration of combat readiness will exploit their command restructuring and signal resolve without triggering escalation.","Novaris","2026-02-15 16:24:06"
1,"small_power","Tethys","military","secondary","General Olena Bondar","military",0.88,"military_exercises","Large-scale drills will accelerate force integration and signal long-term commitment to domestic and allied audiences.","self","2026-02-15 16:24:06"
1,"small_power","Tethys","military","tertiary","General Olena Bondar","military",0.88,"enhanced_patrols","Increasing frontline vigilance will deter opportunistic advances during this fragile stabilization phase.","Novaris","2026-02-15 16:24:06"
1,"small_power","Tethys","intelligence","primary","Director Maksym Savchenko","intelligence",0.72,"cyber_defense","With Novaris restructuring commands and recent cyber attacks on critical infrastructure, hardening our own systems is essential to prevent exploitation during this fragile stabilization.","self","2026-02-15 16:24:06"
1,"small_power","Tethys","intelligence","secondary","Director Maksym Savchenko","intelligence",0.72,"counterintelligence","Given signs of prolonged conflict preparation, we must disrupt their intelligence networks to protect operational security of our forces and allies.","Novaris","2026-02-15 16:24:06"
1,"small_power","Tethys","intelligence","tertiary","Director Maksym Savchenko","intelligence",0.72,"information_campaign","A coordinated narrative emphasizing our resilience and their instability will reinforce international support without provoking escalation.","none","2026-02-15 16:24:06"
1,"small_power","Tethys","economic","primary","Minister Taras Moroz","economic",0.28,"targeted_sanctions","Given moderate existing sanctions and strong international support, we can precisely target key sectors financing Novaris’s military without triggering broader economic fallout.","Novaris","2026-02-15 16:24:06"
1,"small_power","Tethys","economic","secondary","Minister Taras Moroz","economic",0.28,"asset_seizure","Seizing assets of sanctioned entities undermines their war economy and signals resolve, complementing military and cyber efforts without escalating kinetic risks.","Novaris","2026-02-15 16:24:06"
1,"small_power","Tethys","economic","tertiary","Minister Taras Moroz","economic",0.28,"trade_negotiation","Engaging neutral markets now will diversify our economic partnerships and reduce long-term vulnerability to supply shocks amid ongoing sanctions pressure.","none","2026-02-15 16:24:06"
1,"small_power","Tethys","diplomatic","primary","Minister Sofia Kovalenko","diplomatic",0.32,"coalition_building","With international support at 80%, we must institutionalize alliances through formal agreements that lock in military, economic, and diplomatic coordination to sustain pressure on Novaris.","Tethys","2026-02-15 16:24:06"
1,"small_power","Tethys","diplomatic","secondary","Minister Sofia Kovalenko","diplomatic",0.32,"formal_multilateral_engagement","Hosting a multilateral summit under regional auspices will reinforce liberal institutional norms and demonstrate that our cause is collectively owned, not unilateral.","none","2026-02-15 16:24:06"
1,"small_power","Tethys","diplomatic","tertiary","Minister Sofia Kovalenko","diplomatic",0.32,"international_observers","Deploying observer missions to conflict zones bolsters transparency, deters atrocities, and preserves our moral high ground amid ongoing stabilization efforts.","Tethys","2026-02-15 16:24:06"
