scenario_id,condition,agent_id,framework_name,method,lens,focus,bias,model,information_fraction,probability,confidence,rationale,fallback_type
scenario_001,framework_baseline,0,base_rate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The forecast is based on a historical base rate of government collapse in similar crises, adjusted for factors including Tethys's defensive advantages, international support, and Novaris's economic vulnerabilities, as well as the potential for escalating military conflict and economic pressure.",
scenario_001,framework_baseline,5,best_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.03,high,"Tethys's government stability is bolstered by strong international support, Meridian's reaffirmed security commitment, and its asymmetric military capabilities, which significantly deter Novaris's conventional superiority. The economic sanctions imposed on Novaris also weaken its position, reducing the likelihood of a swift military victory. Tethys's control of critical energy transit pipelines further ensures a degree of mutual economic dependence, discouraging extreme actions from Novaris.",
scenario_001,framework_baseline,3,historical_analogy,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The crisis resembles the Georgian-Russia conflict, where a smaller state defended against a larger power's territorial claims. However, differences in international support, economic leverage, and asymmetric military capabilities suggest Tethys's government collapse is less likely than in the analogous case. Adjusting for these factors yields a moderate probability estimate.",
scenario_001,framework_baseline,2,scenario_tree,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The estimated probability of Tethys's government collapse is driven by scenarios including a potential full invasion by Novaris, economic capitulation due to prolonged sanctions, and internal instability. However, the defender's advantage, international support, and the complexity of Novaris's own vulnerabilities balance these risks, preventing a higher collapse probability. The calculation integrates these factors across distinct future paths.",
scenario_001,framework_baseline,6,trend,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.42,medium,"The deteriorating trend in Tethys's territory control and GDP, combined with the increasing sanctions on Novaris and the stabilizing military balance, suggest a moderate risk of government collapse. However, the strong international support for Tethys and the potential for backchannel negotiations with Aurelia may mitigate this risk. The momentum of change in these variables, particularly the accelerating loss of territory, drives the estimated probability.",
scenario_001,framework_baseline,1,key_indicator,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.21,medium,"The key indicator selected is the 'Tethys Territory Remaining' at 63.4%, which has high predictive validity for government collapse due to its direct impact on the government's control and ability to function. This level, while concerning, does not yet indicate an imminent collapse. Secondary factors such as international support and economic resilience reinforce this assessment, suggesting that while the situation is critical, Tethys's government is not on the brink of collapse.",
scenario_001,framework_baseline,4,worst_case,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.83,high,"The combination of Novaris's significant military mobilization, economic coercion, and cyber operations, alongside Tethys's vulnerable economic situation and potential for internal destabilization, creates a high-risk environment for government collapse. The recent territory loss and decreasing GDP of Tethys, coupled with the intense international pressure and sanctions on Novaris, suggest a volatile situation where the worst-case scenario is increasingly plausible. The defensive advantages and international support for Tethys may not be sufficient to withstand the compounded pressures of military, economic, and diplomatic assaults.",
scenario_001,framework_baseline,7,structural,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"Tethys's government collapse probability is driven by its institutional resilience, geographic defense advantages, and significant international support, which together mitigate the risk of immediate collapse despite economic pressure and military threats from Novaris. However, prolonged conflict and economic strain pose risks to its governing capacity. The current military balance and sanctions on Novaris also limit the likelihood of an imminent regime change.",
scenario_001,framework_baseline,9,devils_advocate,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.81,high,"The combination of Novaris's relentless pressure campaign, Tethys's significant economic strain, and the potential for covert operations to destabilize the government from within, alongside the nuanced but ultimately limited support from international actors, leads to a higher likelihood of Tethys's government collapse by the end of Period 1.",
scenario_001,framework_baseline,8,game_theoretic,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The probability of Tethys's government collapse is driven by the ongoing military pressure from Novaris, the economic strain from sanctions and trade disruptions, and the limited but growing international support. However, Tethys's asymmetric military capabilities, control of critical energy transit pipelines, and strong motivation to defend its independence reduce the likelihood of immediate collapse. The current stalemate and diplomatic efforts suggest a moderate risk of government collapse by the end of Period 1.",
scenario_002,framework_baseline,3,historical_analogy,,,,,meta-llama/llama-3.3-70b-instruct,1.0,0.32,medium,"The historical analogy of the Georgian-Russian conflict in 2008, where a smaller state's government faced significant military and economic pressure from a larger power, suggests a relatively low probability of collapse, adjusted for key differences such as Tethys's stronger international support and asymmetric capabilities, which reduce the likelihood of immediate military defeat or economic collapse.",
